layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.0002550935745239258,7.40814208984375e-05,0.0001810121536254883,2.493046875,2.0337109375,0.4593359375
layer_1,-0.0021728938817977906,0.002075793147087097,-0.004248687028884888,2.67732421875,4.8455859375,-2.16826171875
layer_2,-0.0002893507480621338,0.00016947031021118163,-0.0004588210582733154,2.0722265625,2.8872265625,-0.815
layer_3,0.0018929654359817504,0.0017335814237594603,0.00015938401222229004,5.3649609375,4.5276171875,0.83734375
layer_4,0.01102411925792694,0.012799376845359802,-0.0017752575874328614,5.57603515625,7.11509765625,-1.5390625
layer_5,-0.0016149497032165528,0.0033968442678451536,-0.005011793971061706,3.6632421875,5.1429296875,-1.4796875
layer_6,0.0005760765075683593,-5.033254623413086e-05,0.0006264090538024902,5.3440234375,1.46375,3.8802734375
layer_7,0.0014430981874465941,0.0008558940887451172,0.000587204098701477,7.5822265625,4.06921875,3.5130078125
layer_8,0.0007693421840667725,0.00012996435165405274,0.0006393778324127197,7.513671875,2.9903125,4.523359375
layer_9,0.0008433187007904053,0.0002063000202178955,0.0006370186805725097,7.3465234375,3.1348828125,4.211640625
layer_10,0.0013342100381851197,0.0007288843393325805,0.0006053256988525391,8.0167578125,3.593046875,4.4237109375
layer_11,0.0006044971942901612,-4.752278327941894e-05,0.0006520199775695801,7.1125,1.861484375,5.251015625
layer_12,0.0006321346759796142,-1.7278194427490234e-05,0.0006494128704071045,6.592109375,2.13796875,4.454140625
layer_13,0.005546139478683472,0.005207308530807495,0.0003388309478759766,7.75841796875,5.48837890625,2.2700390625
layer_14,0.006118595004081726,0.00629680871963501,-0.00017821371555328368,5.2653125,5.5515625,-0.28625
layer_15,0.0021509939432144166,0.0016469383239746094,0.0005040556192398071,5.9490625,4.5755078125,1.3735546875
layer_16,0.0012861198186874389,0.0017017185688018798,-0.0004155987501144409,3.81953125,4.417421875,-0.597890625
layer_17,-0.00012913823127746582,0.0007280057668685913,-0.0008571439981460571,2.12359375,2.887890625,-0.764296875
layer_18,-0.000686066746711731,0.0003695136308670044,-0.0010555803775787354,0.83642578125,1.8265234375,-0.99009765625
layer_19,-0.0010247892141342163,0.0001968628168106079,-0.0012216520309448241,0.0307421875,1.3751953125,-1.344453125
layer_20,-0.0008345979452133178,2.811729907989502e-05,-0.0008627152442932128,-0.27408203125,0.6408203125,-0.91490234375
layer_21,-0.001044909954071045,5.656063556671142e-05,-0.0011014705896377564,-0.66341796875,0.5746484375,-1.23806640625
layer_22,-0.0010420691967010498,0.00013234138488769532,-0.0011744105815887451,-0.7634765625,0.5699609375,-1.3334375
layer_23,-0.0010468798875808716,0.00015994429588317872,-0.0012068241834640504,-0.7982421875,0.410078125,-1.2083203125
layer_24,-0.001152328848838806,0.0001888197660446167,-0.001341148614883423,-0.94712890625,0.4959375,-1.44306640625
layer_25,-0.001956329345703125,0.00022079527378082275,-0.0021771246194839475,-1.1623046875,0.536640625,-1.6989453125
layer_26,-0.0018732666969299317,0.0001566910743713379,-0.0020299577713012696,-1.30330078125,0.207265625,-1.51056640625
layer_27,-0.001273168921470642,0.00011752128601074219,-0.0013906902074813843,-1.12986328125,0.1289453125,-1.25880859375
layer_28,-0.0007018554210662842,0.00016715586185455321,-0.0008690112829208374,-0.47833984375,0.51390625,-0.99224609375
layer_29,-0.000490567684173584,7.312834262847901e-05,-0.000563696026802063,-0.5497265625,0.2206640625,-0.770390625
layer_30,-0.0005688536167144776,-1.6286969184875488e-05,-0.0005525666475296021,-0.8641015625,-0.2416015625,-0.6225
layer_31,-0.0002773237228393555,-1.0287761688232422e-05,-0.00026703596115112304,-0.33150390625,-0.1123828125,-0.21912109375
