layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.00832612156867981,0.009841981530189513,-0.0015158599615097046,6.0651171875,6.8678125,-0.8026953125
layer_1,0.006085426211357116,0.007319135665893555,-0.001233709454536438,5.831015625,7.71271484375,-1.88169921875
layer_2,0.01725397527217865,0.0211961030960083,-0.0039421278238296505,6.784287109375,8.372802734375,-1.588515625
layer_3,0.050125120282173155,0.059947724342346194,-0.009822604060173035,7.03052734375,9.87611328125,-2.8455859375
layer_4,0.0019180697202682495,0.0004534035921096802,0.0014646661281585694,6.98015625,4.8472265625,2.1329296875
layer_5,0.0016717219352722168,0.0004309302568435669,0.0012407916784286498,5.2242578125,4.5707421875,0.653515625
layer_6,0.0013047164678573607,0.0001614922285079956,0.0011432242393493652,4.1678515625,3.16734375,1.0005078125
layer_7,0.0018421447277069093,0.0003444796800613403,0.001497665047645569,7.514453125,3.6537109375,3.8607421875
layer_8,0.0014793068170547486,-1.871347427368164e-05,0.0014980202913284302,5.1018359375,1.805234375,3.2966015625
layer_9,0.0015877139568328856,0.00010489702224731446,0.0014828169345855713,6.537265625,3.6601953125,2.8770703125
layer_10,-0.0005514025688171387,0.0016373825073242188,-0.0021887850761413575,5.01552734375,4.7223046875,0.29322265625
layer_11,0.001504907011985779,5.25212287902832e-05,0.0014523857831954957,5.558359375,2.91515625,2.643203125
layer_12,0.0014400321245193481,-3.4776926040649416e-05,0.0014748090505599975,2.6334375,-0.547421875,3.180859375
layer_13,0.0010065096616744995,0.0010614854097366333,-5.497574806213379e-05,4.577265625,4.41193359375,0.16533203125
layer_14,-0.17688492357730864,0.009459353685379028,-0.18634427726268768,1.43651611328125,6.767998046875,-5.33148193359375
layer_15,-0.0003577113151550293,0.0004267936944961548,-0.000784505009651184,2.299921875,2.1091796875,0.1907421875
layer_16,-0.003088526725769043,0.000356520414352417,-0.00344504714012146,1.49744140625,0.4194140625,1.07802734375
layer_17,-0.0021134692430496214,0.00231905996799469,-0.0044325292110443115,0.97541015625,0.496689453125,0.478720703125
layer_18,-0.0051228606700897215,0.00023314595222473144,-0.005356006622314453,0.60521484375,1.1245703125,-0.51935546875
layer_19,0.0009398430585861206,6.740927696228028e-05,0.0008724337816238403,1.1893359375,0.458984375,0.7303515625
layer_20,0.0007154375314712524,-1.5143752098083496e-05,0.000730581283569336,-0.00185546875,-0.6008203125,0.59896484375
layer_21,0.0007237297296524048,-7.963180541992187e-07,0.000724526047706604,0.61869140625,0.307109375,0.31158203125
layer_22,0.0002156829833984375,9.865164756774902e-06,0.0002058178186416626,0.59017578125,0.363359375,0.22681640625
layer_23,0.00014806985855102538,4.714846611022949e-05,0.0001009213924407959,0.4808984375,0.6556640625,-0.174765625
layer_24,-0.00025575101375579834,4.459202289581299e-05,-0.00030034303665161133,0.1861328125,0.8246484375,-0.638515625
layer_25,-0.0005842334032058716,6.556451320648193e-05,-0.0006497979164123535,0.3701953125,0.8866796875,-0.516484375
layer_26,-0.0007052642107009888,6.114065647125244e-05,-0.0007664048671722412,0.08921875,0.672421875,-0.583203125
layer_27,0.0004831665754318237,-1.2177228927612305e-06,0.00048438429832458495,-0.0465234375,0.23265625,-0.2791796875
layer_28,-0.0032230806350708008,8.05586576461792e-05,-0.00330363929271698,0.107373046875,0.573515625,-0.466142578125
layer_29,-0.0011121892929077148,2.762794494628906e-05,-0.0011398172378540039,0.0621484375,0.779609375,-0.7174609375
layer_30,-0.0022664231061935423,5.205690860748291e-05,-0.0023184800148010254,-0.32623046875,0.6866015625,-1.01283203125
layer_31,-0.00046003878116607666,1.477181911468506e-05,-0.0004748106002807617,0.10486328125,0.189765625,-0.08490234375
