layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.0009748727083206177,0.0015006834268569947,-0.0005258107185363769,3.6034375,5.3676953125,-1.7642578125
layer_1,0.0004867476224899292,0.00012424290180206298,0.0003625047206878662,3.64546875,3.5408203125,0.1046484375
layer_2,0.0038506054878234865,0.011320999264717102,-0.007470393776893616,3.4762109375,7.54552734375,-4.06931640625
layer_3,0.002731127738952637,0.009432931542396545,-0.006701803803443909,3.36318359375,7.29896484375,-3.93578125
layer_4,0.0005066227912902832,0.0002396005392074585,0.0002670222520828247,3.7338671875,3.7736328125,-0.039765625
layer_5,0.0004670584201812744,0.00014926612377166748,0.00031779229640960694,3.4923828125,3.4569140625,0.03546875
layer_6,0.000413934588432312,-6.47670030593872e-05,0.0004787015914916992,2.9582421875,0.402578125,2.5556640625
layer_7,0.00039062976837158205,-2.2910237312316895e-05,0.00041354000568389894,3.0933203125,1.83296875,1.2603515625
layer_8,0.00042640864849090575,-6.611049175262452e-05,0.0004925191402435303,3.7974609375,0.539375,3.2580859375
layer_9,0.0003012585639953613,0.001855175495147705,-0.0015539169311523438,3.1134765625,5.4865625,-2.3730859375
layer_10,0.00042107224464416504,0.0003538590669631958,6.721317768096924e-05,3.4973046875,4.0896875,-0.5923828125
layer_11,0.00030711948871612547,1.9343495368957518e-05,0.00028777599334716796,2.736796875,2.4496875,0.287109375
layer_12,-0.0037817263603210447,0.000649821162223816,-0.004431547522544861,2.097001953125,1.5342578125,0.562744140625
layer_13,0.0004077482223510742,-7.528126239776611e-05,0.00048302948474884035,2.2127734375,-0.498125,2.7108984375
layer_14,0.00020237207412719725,0.00010062873363494873,0.00010174334049224854,1.715234375,1.9216796875,-0.2064453125
layer_15,0.00036358237266540525,-3.153026103973389e-05,0.0003951126337051392,2.23390625,1.0090234375,1.2248828125
layer_16,0.00034742474555969237,-4.962623119354248e-05,0.00039705097675323485,1.154609375,-0.8616796875,2.0162890625
layer_17,-0.0012393105030059815,0.0012588644027709962,-0.0024981749057769774,0.8666015625,2.1409765625,-1.274375
layer_18,-0.000695962905883789,0.00022338390350341798,-0.000919346809387207,0.38333984375,1.10671875,-0.72337890625
layer_19,0.00019466161727905274,-3.4999847412109374e-06,0.00019816160202026367,0.4610546875,0.4061328125,0.054921875
layer_20,-0.00013992011547088622,7.761478424072266e-05,-0.0002175348997116089,0.2988671875,0.984453125,-0.6855859375
layer_21,0.00025069236755371094,-4.691481590270996e-05,0.0002976071834564209,0.1778125,-0.1241796875,0.3019921875
layer_22,-0.00024675369262695313,7.164716720581054e-05,-0.0003184008598327637,0.2376171875,0.8741015625,-0.636484375
layer_23,-0.0001068580150604248,3.7857890129089354e-05,-0.00014471590518951415,0.285546875,0.4230078125,-0.1374609375
layer_24,-0.0001372671127319336,4.791855812072754e-05,-0.00018518567085266114,0.0612890625,0.369921875,-0.3086328125
layer_25,-0.0006389141082763672,0.0001331692934036255,-0.0007720834016799927,0.0899609375,0.961484375,-0.8715234375
layer_26,-0.00018640339374542236,6.175339221954345e-05,-0.0002481567859649658,0.1415625,0.529453125,-0.387890625
layer_27,3.486812114715576e-05,-1.5920400619506836e-06,3.646016120910645e-05,-0.0595703125,-0.0893359375,0.029765625
layer_28,-0.0005976933240890502,0.00010036826133728028,-0.0006980615854263306,-0.326484375,-0.1235546875,-0.2029296875
layer_29,-0.0009616124629974365,0.000174291729927063,-0.0011359041929244996,-0.1409765625,1.4720703125,-1.613046875
layer_30,-0.00012358605861663817,3.882765769958496e-05,-0.00016241371631622314,-0.0338671875,0.18640625,-0.2202734375
layer_31,2.2440552711486817e-05,7.017850875854492e-06,1.5422701835632324e-05,0.09640625,0.1197265625,-0.0233203125
