layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.0006845659017562867,0.0023608332872390747,-0.001676267385482788,4.0259375,4.77787109375,-0.75193359375
layer_1,-0.00044935286045074465,0.0008864015340805054,-0.00133575439453125,3.03115234375,2.9544140625,0.07673828125
layer_2,-0.0019488263130187989,0.00919560730457306,-0.011144433617591858,3.93763671875,6.37669921875,-2.4390625
layer_3,0.011515581607818603,0.013823627829551696,-0.002308046221733093,6.0737890625,7.495,-1.4212109375
layer_4,0.0019519305229187011,0.0015564185380935668,0.0003955119848251343,5.0937890625,4.8477734375,0.246015625
layer_5,0.012332181334495545,0.018431994318962096,-0.006099812984466553,5.48322265625,7.6080078125,-2.12478515625
layer_6,0.0028712832927703857,0.003295164108276367,-0.00042388081550598144,5.670234375,5.40693359375,0.26330078125
layer_7,0.05567990005016327,0.05745104730129242,-0.0017711472511291503,8.0383154296875,8.6051318359375,-0.56681640625
layer_8,0.001981046199798584,0.0009353595972061157,0.0010456866025924682,7.050625,3.9864453125,3.0641796875
layer_9,0.06480501472949982,0.07029690444469452,-0.005491889715194702,7.55876953125,8.9680859375,-1.40931640625
layer_10,0.0020098400115966795,0.0015183019638061524,0.0004915380477905273,6.30232421875,4.278203125,2.02412109375
layer_11,0.02148606538772583,0.023433342576026917,-0.0019472771883010864,7.399248046875,7.214892578125,0.18435546875
layer_12,0.015192340612411499,0.017858779430389403,-0.002666438817977905,5.99060546875,7.0325,-1.04189453125
layer_13,0.0012725281715393066,0.00029841840267181397,0.0009741097688674927,6.172890625,3.645625,2.527265625
layer_14,-0.024186615347862244,0.010362772941589356,-0.0345493882894516,3.8145361328125,5.268876953125,-1.4543408203125
layer_15,0.0010666894912719728,5.889534950256348e-06,0.0010607999563217163,4.1069921875,0.9948828125,3.112109375
layer_16,0.000971561074256897,-7.278859615325928e-05,0.0010443496704101562,3.0627734375,0.644375,2.4183984375
layer_17,0.0009863656759262086,-5.529344081878662e-05,0.001041659116744995,3.0054296875,0.807265625,2.1981640625
layer_18,0.0009111380577087403,-8.826911449432374e-05,0.000999407172203064,1.7879296875,-0.2130078125,2.0009375
layer_19,0.0007982534170150756,-0.00010234951972961426,0.00090060293674469,0.80953125,-0.924609375,1.734140625
layer_20,0.00041799843311309817,-1.7797350883483885e-05,0.000435795783996582,0.588125,-0.356640625,0.944765625
layer_21,0.0006002193689346314,-4.6107172966003415e-05,0.0006463265419006347,0.5525390625,-0.54234375,1.0948828125
layer_22,0.0006014740467071533,-6.290078163146972e-05,0.0006643748283386231,0.3934765625,-0.55859375,0.9520703125
layer_23,0.0005860501527786255,-6.354272365570068e-05,0.0006495928764343262,0.3176953125,-0.5826171875,0.9003125
layer_24,0.000582801103591919,-5.889952182769775e-05,0.0006417006254196167,0.2508984375,-0.6786328125,0.92953125
layer_25,0.0004428929090499878,-3.7575364112854e-05,0.0004804682731628418,0.103828125,-0.6506640625,0.7544921875
layer_26,0.0006574749946594238,-8.640110492706298e-05,0.0007438760995864868,0.08140625,-0.9156640625,0.9970703125
layer_27,0.0005227106809616088,-6.208837032318116e-05,0.00058479905128479,-0.0553515625,-0.745234375,0.6898828125
layer_28,0.0004596811532974243,-5.610227584838867e-05,0.000515783429145813,0.0068359375,-0.4904296875,0.497265625
layer_29,0.00019177436828613282,-4.048824310302734e-05,0.00023226261138916014,-0.05109375,-0.2826171875,0.2315234375
layer_30,2.7811527252197267e-05,-1.6905665397644043e-05,4.471719264984131e-05,0.0400390625,-0.007578125,0.0476171875
layer_31,1.0380744934082031e-05,2.2410154342651368e-05,-1.2029409408569336e-05,0.119453125,0.11265625,0.006796875
