layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.31898876007865457,-0.0398209950503181,0.3588097551289727,3.1665712244370403,-4.5915670955882355,7.758138320025275
layer_1,0.3192287129514358,-0.03903239264207728,0.35826110559351304,3.119144753848805,-3.0075597426470586,6.126704496495864
layer_2,0.22076718105989343,-0.01743652399848489,0.23820370505837835,1.6317768770105698,-0.20064338235294119,1.832420259363511
layer_3,0.23888924542595358,-0.005155386644251207,0.2440446320702048,1.159641939051011,-0.26466567095588234,1.4243076100068934
layer_4,0.059823074060327865,0.0014658352907966166,0.05835723876953125,0.39812675924862134,0.16861213235294117,0.22951462689568014
layer_5,0.03528327100417193,0.0014434954699348,0.03383977553423713,0.22458819221047793,0.09479549632352942,0.12979269588694853
layer_6,0.027985090367934284,0.0016936582677504596,0.026291432100183823,0.1575286865234375,0.11639476102941176,0.04113392549402574
layer_7,0.03720086883096134,0.002807019738590016,0.03439384909237132,0.23115288229549633,0.15086167279411763,0.08029120950137868
layer_8,0.02806683989132152,0.0013779612148509307,0.026688878676470587,0.16825902602251838,0.06020220588235294,0.10805682014016545
layer_9,0.03229629853192498,-0.0005104569827809053,0.03280675551470588,0.16488396139705883,0.05243566176470588,0.11244829963235294
layer_10,0.018842747632194966,-0.0005066535052131204,0.019349401137408087,0.13124407599954044,0.04775965073529412,0.08348442526424632
layer_11,0.041260750153485466,0.000802160711849437,0.04045858944163603,0.2006744384765625,0.10291819852941177,0.09775623994715074
layer_12,0.019581805958467372,-0.0007420034969554228,0.020323809455422795,0.12810345818014707,0.04341681985294118,0.08468663832720588
layer_13,0.02780612496768727,0.002052161272834329,0.02575396369485294,0.13123797248391544,0.08509880514705882,0.04613916733685662
layer_14,-0.0012584321639117072,0.0016443280612721163,-0.0029027602251838237,-0.0017382453469669118,0.03795955882352941,-0.03969780417049632
layer_15,0.012041630464441636,0.0023628908045151653,0.00967873965992647,0.06704765768612132,0.0651999080882353,0.0018477495978860294
layer_16,0.0003220810609705308,0.0016727531657499425,-0.0013506721047794117,0.025640151079963234,0.023046875,0.002593276079963235
layer_17,0.0002545384799732881,0.0014885257272159351,-0.0012339872472426471,0.02628173828125,0.04153262867647059,-0.015250890395220588
layer_18,-0.0010980017044964958,0.0009797068203196806,-0.0020777085248161764,0.029376220703125,0.042153033088235294,-0.012776812385110295
layer_19,0.0008795990663416246,0.001964229695937213,-0.0010846306295955882,0.029641544117647058,0.03576516544117647,-0.006123621323529412
layer_20,-2.86410836612477e-05,0.0020052657407872818,-0.0020339068244485292,0.022236184512867647,0.037775735294117645,-0.01553955078125
layer_21,-0.001001130833345301,0.0018215656280517578,-0.002822696461397059,0.015584788602941177,0.03509880514705882,-0.019514016544117645
layer_22,-0.0002467239604276769,0.0012434314278995289,-0.0014901553883272058,0.01692379222196691,0.03076746323529412,-0.013843671013327206
layer_23,-0.0005671781652113971,0.0016694012810202206,-0.0022365794462316175,0.029351268095128676,0.044278492647058826,-0.014927224551930147
layer_24,-7.127032560460708e-05,0.0008627470801858341,-0.0009340174057904412,0.02124202952665441,0.02385110294117647,-0.002609073414522059
layer_25,5.118706647087546e-05,0.0008593643412870519,-0.0008081772748161764,0.022093290441176472,0.021610753676470588,0.0004825367647058824
layer_26,0.00024325426887063418,0.0007117888506721048,-0.0004685345818014706,0.014570348403033088,0.015349264705882352,-0.0007789163028492647
layer_27,-0.0005400293013628791,0.0006948555217069738,-0.0012348848230698528,0.01304159725413603,0.0162109375,-0.0031693402458639708
layer_28,-0.001222989138434915,0.0010600847356459673,-0.0022830738740808824,0.0015204934512867646,0.012764246323529412,-0.011243752872242647
layer_29,0.0011739506441004136,0.0006664612713982078,0.0005074893727022059,0.0022489659926470586,0.004331341911764706,-0.002082375919117647
layer_30,0.001438140869140625,0.0006403754739200368,0.0007977653952205882,-0.004791798311121324,-0.005020680147058824,0.0002288818359375
layer_31,0.0017861141878015856,0.0007770594428567325,0.0010090547449448529,0.0006313548368566176,0.0020105698529411763,-0.0013792150160845589
