layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.6822217226028442,-0.013849276304244994,0.6960709989070892,5.124478403727213,-1.0043782552083333,6.128856658935547
layer_1,0.6787486881017685,-0.007972708344459534,0.686721396446228,4.513573455810547,0.20729166666666668,4.30628178914388
layer_2,0.6988332519928614,0.016138562560081483,0.68269468943278,5.394457244873047,1.4259847005208333,3.9684725443522137
layer_3,0.6814842388033867,-0.016691161692142485,0.6981754004955292,4.594530487060547,-6.220751953125,10.815282440185547
layer_4,0.6814920082688332,-0.016582131385803223,0.6980741396546364,4.6744132995605465,-4.714957682291667,9.389370981852213
layer_5,0.6814837008714676,-0.016706669330596925,0.6981903702020645,4.151106007893881,-8.083772786458333,12.234878794352214
layer_6,0.6814856037497521,-0.01670816590388616,0.6981937696536382,4.6044263203938804,-8.775960286458334,13.380386606852214
layer_7,0.6814863195021947,-0.016707327961921693,0.6981936474641164,5.017577362060547,-8.254606119791667,13.272183481852213
layer_8,0.6814860994617145,-0.016708066562811534,0.698194166024526,5.04231694539388,-8.757731119791666,13.800048065185546
layer_9,0.6814860239624977,-0.016707814733187356,0.6981938386956851,4.798697153727214,-8.683837890625,13.482535044352213
layer_10,0.6814863473176956,-0.016680848598480225,0.6981671959161758,4.778807830810547,-6.191520182291667,10.970328013102213
layer_11,0.6767848740021388,-0.009896398584047953,0.6866812725861867,4.498282114664714,-1.50234375,6.0006258646647135
layer_12,0.6271957804759344,0.05060180922349294,0.5765939712524414,4.253724416097005,2.2017008463541665,2.0520235697428384
layer_13,0.5937034537394842,0.05098771353562673,0.5427157402038574,4.03823979695638,2.1449951171875,1.8932446797688802
layer_14,0.2717942009369532,0.015450740853945414,0.2563434600830078,1.582550303141276,0.9771647135416667,0.6053855895996094
layer_15,0.24588325520356497,0.020844599604606627,0.22503865559895833,1.6931531270345053,1.2001790364583333,0.49297409057617186
layer_16,0.16052535076936086,0.013143250346183777,0.1473821004231771,1.0985066731770834,0.7991943359375,0.29931233723958334
layer_17,0.1725758006175359,0.016276718179384867,0.15629908243815105,1.4080396016438803,1.1114095052083333,0.2966300964355469
layer_18,0.09195733964443206,0.010182182987531025,0.08177515665690104,0.9125531514485677,0.7625325520833334,0.15002059936523438
layer_19,0.06660553912321726,0.00855881671110789,0.058046722412109376,0.6649027506510417,0.5557373046875,0.10916544596354166
layer_20,0.04699339767297109,0.008612711230913799,0.03838068644205729,0.5436086018880208,0.4715983072916667,0.07201029459635416
layer_21,0.03885351320107778,0.0067452063163121545,0.032108306884765625,0.4651638031005859,0.4082438151041667,0.05691998799641927
layer_22,0.03802369733651479,0.004873215158780416,0.03315048217773438,0.4167203267415365,0.35965169270833336,0.05706863403320313
layer_23,0.04141206641991933,0.005053678154945373,0.03635838826497396,0.43243509928385415,0.36886393229166664,0.0635711669921875
layer_24,0.026886547605196636,0.003482362627983093,0.02340418497721354,0.31676292419433594,0.2771240234375,0.03963890075683594
layer_25,0.024378998080889384,0.0032580365737279256,0.02112096150716146,0.28733851114908854,0.2492431640625,0.038095347086588544
layer_26,0.026870794097582498,0.002631444732348124,0.024239349365234374,0.2482702891031901,0.2059814453125,0.0422888437906901
layer_27,0.020197102427482606,0.0034767756859461468,0.016720326741536458,0.2817484537760417,0.2518391927083333,0.029909261067708335
layer_28,0.021920749545097352,0.0029772172371546426,0.01894353230794271,0.2308680216471354,0.19442545572916667,0.03644256591796875
layer_29,0.01934756338596344,0.002229490876197815,0.017118072509765624,0.20496241251627603,0.17421875,0.03074366251627604
layer_30,0.02391466001669566,0.00304546852906545,0.02086919148763021,0.16370824178059895,0.117236328125,0.04647191365559896
layer_31,0.007867043217023214,0.0021366049846013387,0.005730438232421875,0.06120109558105469,0.037548828125,0.023652267456054688
