layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,1.8410822924445657e-05,7.5073803172392e-06,1.0903442607206457e-05,0.06392463235294117,0.04071691176470588,0.023207720588235295
layer_1,1.3466442332548254e-05,7.238107569077436e-06,6.228334763470818e-06,0.2842371323529412,0.3192095588235294,-0.034972426470588236
layer_2,2.2257075590245865e-06,6.837704602409812e-06,-4.611997043385225e-06,0.009053308823529413,0.3238051470588235,-0.3147518382352941
layer_3,2.4564125958610983e-06,1.3148083406336167e-06,1.1416042552274816e-06,-0.05183823529411765,-0.007352941176470588,-0.04448529411764706
layer_4,1.0632767396814682e-05,2.8498032513786765e-06,7.782964145436006e-06,0.15275735294117648,0.1341452205882353,0.018612132352941176
layer_5,4.454921273624195e-06,-1.4263040879193474e-06,5.881225361543543e-06,0.055376838235294115,0.034375,0.02100183823529412
layer_6,1.4613656436695773e-06,-1.4543533325195312e-06,2.9157189761891083e-06,0.006939338235294117,0.017830882352941176,-0.010891544117647058
layer_7,-1.3113021850585938e-06,-7.327865151798024e-07,-5.785156698787913e-07,0.035891544117647056,0.09871323529411764,-0.06282169117647059
layer_8,-6.645567276898553e-06,-1.3603883631089154e-07,-6.509528440587661e-06,-0.05753676470588235,0.06976102941176471,-0.12729779411764705
layer_9,2.875047571518842e-07,-3.7095125983743107e-07,6.584560169893152e-07,-0.02927389705882353,0.02150735294117647,-0.05078125
layer_10,-5.483627319335937e-07,2.4697359870461858e-06,-3.0180987189797793e-06,0.009283088235294118,0.0916360294117647,-0.08235294117647059
layer_11,-5.665947409237132e-07,-1.1163599350873162e-06,5.497651941636029e-07,-0.04990808823529412,-0.03547794117647059,-0.01443014705882353
layer_12,3.344872418571921e-06,9.291312273810891e-07,2.415741191190832e-06,0.007950367647058823,-0.003952205882352941,0.011902573529411764
layer_13,2.276897430419922e-06,-9.494669297162224e-07,3.2263643601361445e-06,-0.08111213235294118,-0.07040441176470588,-0.010707720588235294
layer_14,6.689744837143841e-07,-1.2481913847081802e-06,1.9171658684225643e-06,-0.03322610294117647,0.00027573529411764705,-0.03350183823529412
layer_15,1.485908732694738e-06,-1.6549054314108455e-07,1.6513992758358227e-06,-0.026240808823529412,-0.05560661764705882,0.02936580882352941
layer_16,4.985753227682675e-07,1.0223949656767003e-06,-5.23819642908433e-07,0.008777573529411765,0.03170955882352941,-0.022931985294117645
layer_17,-1.1717571931726793e-06,1.4866099638097427e-07,-1.3204181895536535e-06,-0.08327205882352941,0.007536764705882353,-0.09080882352941176
layer_18,2.665379468132468e-06,-9.108992183909697e-07,3.5762786865234375e-06,-0.010799632352941176,-0.0859375,0.07513786764705882
layer_19,7.713542265050552e-07,6.942188038545496e-07,7.713542265050552e-08,-0.04007352941176471,-0.028216911764705883,-0.011856617647058823
layer_20,-1.093920539407169e-06,-8.32361333510455e-07,-2.615592058967142e-07,-0.06323529411764706,-0.02545955882352941,-0.037775735294117645
layer_21,2.1387549007640166e-06,4.319583668428309e-07,1.7067965339211857e-06,-0.004549632352941177,0.020588235294117647,-0.025137867647058824
layer_22,3.506155575022978e-07,-1.2566061580882353e-06,1.607221715590533e-06,-0.06208639705882353,-0.08446691176470589,0.022380514705882353
layer_23,-1.5034395105698529e-06,9.957481833065258e-08,-1.6030143289005055e-06,-0.044209558823529414,-0.025091911764705883,-0.01911764705882353
layer_24,1.5546293819651884e-06,1.1920928955078126e-08,1.5427084530101103e-06,0.01879595588235294,-0.020404411764705883,0.03920036764705882
layer_25,-9.747112498563878e-07,4.0601281558766083e-07,-1.3807240654440487e-06,-0.019439338235294118,0.010569852941176471,-0.03000919117647059
layer_26,3.1204784617704504e-07,7.615369908949909e-07,-4.4948914471794576e-07,-0.02104779411764706,-0.001286764705882353,-0.019761029411764705
layer_27,5.175085628733915e-07,1.3393514296587776e-07,3.835734199075138e-07,-0.007306985294117647,-0.012591911764705883,0.005284926470588236
layer_28,1.1324882507324219e-06,1.3652969809139476e-06,-2.3280873018152573e-07,-0.0034926470588235296,0.04650735294117647,-0.05
layer_29,2.720776726217831e-07,5.672959720387178e-07,-2.9521829941693475e-07,-0.012362132352941176,0.019393382352941177,-0.03175551470588235
layer_30,-6.893101860495174e-07,2.6646782370174634e-08,-7.159569684196921e-07,-0.0005514705882352941,-0.020588235294117647,0.020036764705882355
layer_31,1.5988069422104778e-07,1.8091762767118565e-06,-1.6492955824908089e-06,0.014613970588235294,0.052113970588235296,-0.0375
