layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.6907161245743434,-0.005946016808350881,0.6966621413826942,5.451317596435547,-1.0530924479166666,6.5044100443522135
layer_1,0.6925948878129323,-0.0016902307669321695,0.6942851185798645,5.677928924560547,0.28302408854166666,5.39490483601888
layer_2,0.6929694751898448,-0.0012713849544525146,0.6942408601442973,5.7912752787272135,0.439013671875,5.352261606852213
layer_3,0.6926632165908814,-0.000881121555964152,0.6935443381468455,5.812564341227214,0.46455078125,5.348013559977214
layer_4,0.6919033328692118,-0.004166618982950846,0.6960699518521627,5.76106694539388,-0.34099934895833334,6.1020662943522135
layer_5,0.6907614096999168,-0.007124564548333486,0.6978859742482503,5.961148325602213,-2.0468098958333334,8.007958221435548
layer_6,0.6905221849679947,-0.007397402326265971,0.6979195872942606,5.375048065185547,-2.8065755208333334,8.18162358601888
layer_7,0.690599791208903,-0.006441246966520945,0.697041038175424,5.377994028727214,-1.4706705729166667,6.84866460164388
layer_8,0.6984451274077098,0.01267742911974589,0.6857676982879639,5.627798716227214,1.4488606770833334,4.178938039143881
layer_9,0.693795241912206,0.020152574777603148,0.6736426671346029,5.372297414143881,1.9423502604166667,3.4299471537272135
layer_10,0.7105253438154856,0.02822472850481669,0.682300615310669,6.05493901570638,2.0697509765625,3.98518803914388
layer_11,0.6905501013000807,-0.007110272347927093,0.6976603736480077,5.14588139851888,-2.7152669270833334,7.861148325602214
layer_12,0.684452603260676,0.023359781503677367,0.6610928217569987,5.110790252685547,2.1328125,2.977977752685547
layer_13,0.6754331330458323,0.020583571990331014,0.6548495610555013,4.891421763102214,1.99072265625,2.9006991068522137
layer_14,0.6384649336338043,0.04272935191790263,0.5957355817159017,4.858411916097006,2.507763671875,2.3506482442220054
layer_15,0.6754857003688812,0.05370336969693502,0.6217823306719462,5.210293833414713,2.65673828125,2.5535555521647137
layer_16,0.6053797940413157,0.0862295687198639,0.5191502253214518,4.7040051778157554,2.941092936197917,1.7629122416178384
layer_17,0.5597005903720855,0.06309935847918192,0.49660123189290367,4.176504770914714,2.723099772135417,1.453404998779297
layer_18,0.3113174021244049,0.022354084253311157,0.28896331787109375,2.386870574951172,1.7069417317708333,0.6799288431803385
layer_19,0.2598622540632884,0.012994374831517537,0.24686787923177084,1.676416269938151,1.1421875,0.534228769938151
layer_20,0.19540039499600728,0.014604852596918742,0.18079554239908854,1.761578114827474,1.3871419270833334,0.3744361877441406
layer_21,0.13165502746899924,0.004859830935796102,0.12679519653320312,0.9366597493489583,0.6687337239583333,0.267926025390625
layer_22,0.11587314009666443,0.004657675822575887,0.11121546427408854,0.7875732421875,0.5643391927083333,0.22323404947916667
layer_23,0.12474386294682821,0.004766801993052165,0.11997706095377604,0.7784868876139323,0.5404296875,0.2380572001139323
layer_24,0.09886014660199484,0.004138416051864624,0.09472173055013021,0.7646334330240886,0.5829427083333333,0.1816907246907552
layer_25,0.0824063907066981,0.0035507490237553915,0.0788556416829427,0.6837819417317709,0.5368815104166667,0.14690043131510416
layer_26,0.06424388587474823,0.0021118770043055215,0.062132008870442706,0.3957471211751302,0.287255859375,0.1084912618001302
layer_27,0.05248901744683584,0.0017293840646743774,0.05075963338216146,0.4147855122884115,0.328662109375,0.08612340291341146
layer_28,0.06495810647805532,0.0038011342287063597,0.061156972249348955,0.6397374471028646,0.5312337239583333,0.10850372314453124
layer_29,0.054227200150489804,0.0029899666706720987,0.051237233479817706,0.45052693684895834,0.35732421875,0.09320271809895833
layer_30,0.04898236592610677,0.0028268178304036457,0.046155548095703124,0.3381984710693359,0.24376627604166667,0.09443219502766927
layer_31,0.050761498510837555,0.0014695063233375548,0.0492919921875,0.1720940907796224,0.05333658854166667,0.11875750223795573
