layer,prob_avg,logprob_avg
layer_0,0.31909114613252526,3.068455415613511
layer_1,0.32391444094040817,3.427692547966452
layer_2,0.32841560980852913,3.177830415613511
layer_3,0.32661482586580165,3.3443285773782168
layer_4,0.3273644026587991,3.2835749009076287
layer_5,0.319393045762006,3.3054958567899817
layer_6,0.3308285488801844,3.7420997170840993
layer_7,0.3225097039166619,3.287871775907629
layer_8,0.3204953333910774,2.7193630442899814
layer_9,0.32804430512820976,2.9327591839958638
layer_10,0.32712455917807187,2.762377750172335
layer_11,0.22011188899769502,1.4827189725988053
layer_12,0.16135547581840964,1.0706727869370405
layer_13,0.09838970128227682,0.7507466035730699
layer_14,0.14385822240044088,1.093385045668658
layer_15,0.15921931266784667,1.1396640553193933
layer_16,0.06131389561821433,0.48348657944623163
layer_17,0.02098810252021341,0.2744110107421875
layer_18,0.025493344138650332,0.292012113683364
layer_19,0.019556356878841625,0.23320043227251838
layer_20,0.013171726114609662,0.23643170525045956
layer_21,0.01162731226752786,0.21008282829733455
layer_22,0.016972979377297793,0.24489907657398896
layer_23,0.012325104545144475,0.1909497429342831
layer_24,0.0139097858877743,0.19287378647748163
layer_25,0.0069749635808608115,0.13645576028262868
layer_26,0.01282801347620347,0.1232452392578125
layer_27,0.015249266343958238,0.11209842457490808
layer_28,0.00934580354129567,0.05815142463235294
layer_29,0.024259278353522807,0.09364983053768382
layer_30,0.017653428806978115,-0.009670840992647058
layer_31,0.01526339474846335,-0.003978415096507353
