layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.05836056219904046,-0.03250614781128733,0.0908667100103278,0.43816560444078945,3.304556435032895,-2.8663908305921053
layer_1,0.05961294738869918,-0.030387685800853527,0.0900006331895527,0.769580078125,3.7957982113486843,-3.026218133223684
layer_2,0.059399878351311934,-0.035194053147968495,0.09459393149928043,0.9005011307565789,1.1941945929276316,-0.29369346217105263
layer_3,0.05991220097792776,-0.03466958811408595,0.09458178909201372,1.3990619860197369,1.3999100534539475,-0.0008480674342105264
layer_4,0.06005085706710815,-0.03467002416911878,0.09472088123622693,2.064645867598684,1.6661518297697369,0.3984940378289474
layer_5,0.0600586031612597,-0.03446768083070454,0.09452628399196424,1.7794896175986843,2.2770070929276316,-0.49751747532894736
layer_6,0.09253784041655691,0.01588752834420455,0.07665031207235236,1.7275570518092105,5.949067125822369,-4.221510074013158
layer_7,0.2447534818398325,0.16906412714406063,0.07568935469577187,3.195877878289474,7.364468544407894,-4.168590666118421
layer_8,0.11352829619457847,0.03565661468003926,0.07787168151453921,2.2388851768092106,5.9601279810855265,-3.721242804276316
layer_9,0.059330662928129496,-0.0017192194336339047,0.061049882361763404,1.137415193256579,4.060395250822369,-2.9229800575657894
layer_10,0.07550387006056936,0.012903047862805819,0.06260082219776354,1.275233861019737,3.9759996916118423,-2.7007658305921054
layer_11,0.08240563681251124,0.023228887507790015,0.05917674930472123,1.364427425986842,4.556620065789474,-3.1921926398026317
layer_12,0.07927638417796085,0.033800100025377776,0.04547628415258307,1.2166760896381579,3.733827611019737,-2.517151521381579
layer_13,0.08061903715133667,0.019922376306433426,0.060696660844903244,1.3228451377467105,2.825857062088816,-1.5030119243421052
layer_14,0.08084992421300788,0.018570527904912044,0.062279396308095834,0.9816997327302631,1.855687191611842,-0.8739874588815789
layer_15,0.06697550572847065,0.019381843115154066,0.04759366261331659,0.5678248355263158,1.1465049342105262,-0.5786800986842106
layer_16,0.05800333462263409,0.014538714760228208,0.04346461986240588,0.5630628083881579,1.2028654399671053,-0.6398026315789473
layer_17,0.06169435413260209,0.020444552521956594,0.041249801610645495,0.44090254934210527,0.5733347039473684,-0.13243215460526317
layer_18,0.032191841853292366,0.016951407884296617,0.015240433968995748,0.3151392886513158,0.6948679070723685,-0.37972861842105265
layer_19,0.01778483704516762,0.010343739860936216,0.007441097184231407,0.1893528988486842,0.4100611636513158,-0.2207082648026316
layer_20,0.009659325449090254,0.006672126368472451,0.0029871990806178044,0.14504009046052632,0.3993806537828947,-0.25434056332236843
layer_21,0.010155670266402395,0.006708496495297081,0.0034471737711053146,0.16536543996710526,0.4902009662828947,-0.3248355263157895
layer_22,0.0032113175643117805,0.004484148401963084,-0.0012728308376513029,0.02703793174342105,0.41871916118421054,-0.3916812294407895
layer_23,0.005820013974842273,0.00476170213598954,0.0010583118388527318,0.041059313322368424,0.5001233552631579,-0.4590640419407895
layer_24,-0.0028830735306990775,0.004543822062642951,-0.0074268955933420285,-0.020641447368421054,0.29603207236842105,-0.3166735197368421
layer_25,-0.0006966295995210346,0.004767954349517822,-0.005464583949038857,0.011287006578947368,0.456103515625,-0.44481650904605263
layer_26,-0.004978949145266884,0.0026584549954063014,-0.007637404140673185,-0.09854800575657895,0.31907637746710527,-0.4176243832236842
layer_27,-0.00269051100078382,0.0015035654369153475,-0.004194076437699167,-0.08292557565789474,0.21474866365131579,-0.29767423930921055
layer_28,-0.0035451010653847143,0.002520529219978734,-0.006065630285363448,-0.0751927425986842,0.24783871299342106,-0.3230314555921053
layer_29,-0.004311456178364001,0.0026916497632076867,-0.007003105941571688,-0.11780427631578948,0.36061369243421054,-0.47841796875
layer_30,-0.0007011884137203819,0.00479262628053364,-0.005493814694254022,-0.08362201891447368,0.23795744243421052,-0.3215794613486842
layer_31,0.0035007966192145096,0.005981144152189556,-0.0024803475329750464,-0.049103104440789476,0.14789525082236843,-0.1969983552631579
