layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.05823855211860255,-0.02755198541440462,0.08579053753300717,0.5755833675986842,4.254001336348685,-3.67841796875
layer_1,0.05937886677290264,-0.032843294269160224,0.09222216104206286,0.7336836965460526,3.135683079769737,-2.4019993832236843
layer_2,0.05929172729191027,-0.03564065067391647,0.09493237796582674,0.9794896175986842,-2.1581902754934212,3.137679893092105
layer_3,0.059340766856544894,-0.03555374835666857,0.09489451521321347,1.2641935649671052,-0.4421952097039474,1.7063887746710527
layer_4,0.059541319545946624,-0.035289619470897475,0.0948309390168441,1.9728284333881578,1.1128623560855264,0.8599660773026315
layer_5,0.05941131616893568,-0.035500238443675794,0.09491155461261147,2.426035670230263,0.2790630139802632,2.14697265625
layer_6,0.09025866420645463,0.007178172939702084,0.08308049126675254,2.125069387335526,5.876472553453947,-3.751403166118421
layer_7,0.33456902817675943,0.25523886115927447,0.07933016701748496,3.955967310855263,7.91331208881579,-3.957344777960526
layer_8,0.20838969945907593,0.1242175020669636,0.08417219739211233,3.668099814967105,7.021600020559211,-3.353500205592105
layer_9,0.10429024131674515,0.015129788925773218,0.08916045239097194,2.965098170230263,5.423368112664473,-2.4582699424342107
layer_10,0.11324079475904766,0.034401130048852216,0.07883966471019545,1.9704024465460526,5.5567973889802635,-3.5863949424342105
layer_11,0.11101293626584505,0.028068840503692627,0.08294409576215242,2.145890727796053,5.60964997944079,-3.4637592516447366
layer_12,0.093474575092918,0.009768884432943244,0.08370569065997475,2.3475920024671053,2.9439376027960527,-0.5963456003289473
layer_13,0.09054584063981709,-0.0012364230657878675,0.09178226370560495,2.8862844366776317,3.8790321751644736,-0.9927477384868421
layer_14,0.10616969874030666,0.01799142925362838,0.08817826948667827,2.2014365748355265,3.8100971422697367,-1.6086605674342105
layer_15,0.12034977235292134,0.044241748358073985,0.07610802399484735,1.5636538856907896,3.5698781866776317,-2.006224300986842
layer_16,0.0997291596312272,0.03008813230614913,0.06964102732507806,1.6076840049342105,4.395847039473685,-2.788163034539474
layer_17,0.10553653553912515,0.03726637363433838,0.06827016190478677,1.171448396381579,2.731517269736842,-1.5600688733552632
layer_18,0.06821669340133667,0.03087807768269589,0.03733861571864078,0.8118498149671053,2.3975765830592106,-1.5857267680921052
layer_19,0.04089414947911313,0.022242673447257593,0.018651476031855532,0.45099198190789475,1.4429995888157894,-0.9920076069078947
layer_20,0.030064137985831813,0.01459796616905614,0.015466171816775674,0.33914730674342103,1.3205360814144738,-0.9813887746710527
layer_21,0.02803928852081299,0.01225902469534623,0.015780263825466757,0.42192896792763157,1.4722270764802632,-1.0502981085526315
layer_22,0.012791510004746286,0.008806368551756207,0.0039851414529900805,0.09563373766447368,1.1428993626644737,-1.047265625
layer_23,0.019096510661275764,0.007718498455850702,0.011378012205425062,0.1353284333881579,1.3475406044407894,-1.2122121710526317
layer_24,-0.00202552456604807,0.009483757771943746,-0.011509282337991814,-0.035462068256578945,0.7630216899671053,-0.7984837582236842
layer_25,0.0021234913876182157,0.009448098508935226,-0.007324607121317011,0.01659642269736842,1.1198087993421053,-1.1032123766447368
layer_26,-0.010302470232311048,0.005268550546545732,-0.015571020778856779,-0.20084806743421052,0.7881219161184211,-0.9889699835526315
layer_27,-0.005033722049311588,0.002672985352967915,-0.007706707402279502,-0.1772409539473684,0.5961605674342105,-0.7734015213815789
layer_28,-0.006078059422342401,0.004720396744577508,-0.01079845616691991,-0.1649696751644737,0.6491442228618421,-0.8141138980263158
layer_29,-0.007403162278627094,0.004782687990288985,-0.01218585026891608,-0.24325143914473685,0.8040218955592106,-1.0472733347039473
layer_30,0.0011545934175190172,0.008310972389421965,-0.007156378971902948,-0.1759765625,0.49988949424342105,-0.675866056743421
layer_31,0.014214468002319337,0.006965176682723196,0.00724929131959614,-0.08697317023026316,0.31540141858552634,-0.40237458881578947
