layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.05928709444246794,-0.03564581871032715,0.09493291315279509,0.8968415912828948,-2.2183054070723682,3.115146998355263
layer_1,0.05878632256859227,-0.03258211048025834,0.09136843304885062,0.5971499794407895,3.247730777138158,-2.6505807976973683
layer_2,0.06009270768416555,-0.033310872002651815,0.09340357968681737,1.1396458675986842,2.7506501850328946,-1.6110043174342106
layer_3,0.059173762798309326,-0.035127043096642746,0.09430080589495207,0.5449912623355263,1.4716616981907895,-0.9266704358552632
layer_4,0.05930761663537276,-0.03544407079094335,0.09475168742631611,0.728173828125,0.4029528166118421,0.3252210115131579
layer_5,0.058183209519637256,-0.033232399037009794,0.09141560855664704,0.2882478412828947,2.848388671875,-2.5601408305921054
layer_6,0.06065251199822677,-0.031345268927122416,0.09199778092534919,0.6337864925986842,2.5216000205592106,-1.8878135279605264
layer_7,0.06254627265428242,-0.0074353374932941635,0.06998161014757659,0.4231676603618421,2.322072882401316,-1.8989052220394738
layer_8,0.05750978055753206,-0.027530098588843095,0.08503987914637516,0.20692588404605264,1.8750025699013158,-1.6680766858552631
layer_9,0.05464345467718024,0.00044992095545718546,0.05419353372172305,0.420654296875,2.4009431537828947,-1.9802888569078947
layer_10,0.07358283871098568,7.483959197998046e-05,0.0735079991190057,0.7311960320723684,1.5684647409539474,-0.8372687088815789
layer_11,0.04635151185487446,-0.0027727854879278885,0.049124297342802346,0.3150570518092105,1.7079795435855263,-1.3929224917763159
layer_12,0.03762253711098119,0.001663329099353991,0.0359592080116272,0.26809467516447366,1.2740208675986842,-1.0059261924342104
layer_13,0.03545411260504472,0.00814486867503116,0.027309243930013556,0.30246196546052634,1.4088815789473683,-1.106419613486842
layer_14,0.03556641779447857,0.010567690824207507,0.02499872697027106,0.2508275082236842,0.7753340871710527,-0.5245065789473684
layer_15,-0.0058365784193340105,-0.002750882349516216,-0.003085696069817794,-0.08337273848684211,0.3416246916118421,-0.42499743009868424
layer_16,-0.0010851439676786724,-0.0039380017079805076,0.002852857740301835,-0.05378546463815789,-0.09225688733552631,0.03847142269736842
layer_17,0.021330394242939196,0.0030580244566264904,0.018272369786312706,0.055144942434210524,0.01474609375,0.04039884868421053
layer_18,0.014007325548874704,0.006211209297180176,0.007796116251694529,0.08644634046052632,-0.022450657894736843,0.10889699835526316
layer_19,-0.004437217586918881,0.000339038748490183,-0.004776256335409064,-0.10778937088815789,-0.23853824013157895,0.13074886924342105
layer_20,0.0025928848668148644,0.003812175675442344,-0.00121929080862748,0.010165244654605263,-0.19553608141447368,0.20570132606907895
layer_21,0.004438018798828125,0.004494021440807142,-5.600264197901676e-05,0.010510896381578948,-0.015296052631578948,0.025806949013157894
layer_22,0.001996251156455592,0.00557116709257427,-0.003574915936118678,-0.014779502467105262,-0.28460629111842106,0.26982678865131576
layer_23,0.0023565304906744706,0.0033828980044314735,-0.001026367513757003,-0.047959498355263155,-0.209619140625,0.16165964226973684
layer_24,0.0015359571105555483,0.004536843299865723,-0.0030008861893101742,0.0028063322368421053,-0.020032380756578948,0.022838712993421054
layer_25,0.0038357207649632502,0.004237104089636552,-0.0004013833246733013,0.007321648848684211,-0.08797029194078948,0.09529194078947369
layer_26,2.8482863777562192e-05,0.004636916361357037,-0.0046084334975794745,-0.02425729851973684,-0.04747892680921053,0.023221628289473686
layer_27,0.0015841239377071983,0.004124528483340615,-0.0025404045456334165,-0.01859837582236842,0.06500051398026316,-0.08359888980263158
layer_28,0.0013627635805230393,0.001602922615252043,-0.0002401590347290039,-0.02392064144736842,-0.08769274259868422,0.06377210115131579
layer_29,-0.0016695806854649595,0.000891502907401637,-0.0025610835928665966,-0.0644299958881579,-0.055928762335526315,-0.00850123355263158
layer_30,-0.0004154399821632787,0.000806381200489245,-0.0012218211826525236,-0.023082853618421054,-0.229833984375,0.20675113075657894
layer_31,0.001043293978038587,-0.00047087983081215307,0.00151417380885074,-0.024385793585526314,-0.14024722450657895,0.11586143092105264
