layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.43208949223603355,-0.019514396639153508,0.45160388887518704,4.513966475382889,-2.175539526608911,6.689506001991801
layer_1,0.4328474656190022,-0.01961577351730649,0.4524632391363087,5.449223282313583,-4.07115369740099,9.520376979714573
layer_2,0.43312317605065825,-0.019184362180162184,0.4523075382308205,6.795564557066058,-0.8328724474009901,7.628437004467048
layer_3,0.43291268726386645,-0.019633628354214207,0.4525463156180807,8.101102923402692,-3.9771329672029703,12.078235890605661
layer_4,0.4334747124426436,-0.019032442923819663,0.45250715536646324,8.612241537264078,-0.804755182549505,9.416996719813582
layer_5,0.3610594396543975,0.002312522123355677,0.3587469175310418,5.329478348835861,1.8926989866955446,3.4367793621403155
layer_6,0.41639385010936475,-0.002834610419698281,0.419228460529063,4.8197272272393255,2.1536780631188117,2.6660491641205137
layer_7,0.2630126653331341,0.02264504031379624,0.24036762501933787,4.247606636273979,3.2534276376856437,0.9941789985883354
layer_8,0.3533314171403942,0.05386034568937698,0.29947107145101715,5.4512332123104885,4.272963722153466,1.1782694901570234
layer_9,0.2699482582583286,0.009900425920392027,0.26004783233793655,3.777652853786355,2.6075620745668315,1.1700907792195234
layer_10,0.31039295810284,0.03335194776553919,0.27704101033730083,4.9014768694887065,3.602785620358911,1.2986912491297957
layer_11,0.21982973459923622,0.030527837795786338,0.1893018968034499,3.914750807356126,3.1461266243811883,0.7686241829749381
layer_12,0.09300298915050997,0.007872722526588062,0.08513026662392191,2.1167212760094367,1.6387032990408417,0.47801797696859527
layer_13,0.06687034415726614,0.0104258927968469,0.05644445136041924,1.230345622147664,0.9297721031868812,0.30057351896078277
layer_14,0.09668664471937878,0.020452880033172003,0.07623376468620678,1.7362457879699102,1.2579224841429455,0.47832330382696475
layer_15,0.07056146742093682,0.018137433151207347,0.05242403426972946,1.392305053106629,1.0099517520111385,0.3823533010954904
layer_16,0.029577370327298003,0.002506763038068715,0.02707060728922929,0.4027656328560102,0.1920540686881188,0.21071156416789139
layer_17,0.025944849052051508,0.003972806552849193,0.021972042499202312,0.4588510494421024,0.22495503944925743,0.233896009992845
layer_18,0.016669058563685654,0.0021464683041714206,0.014522590259514233,0.2065911623510984,0.04642056002475248,0.16017060232634592
layer_19,0.007618816772309861,0.0002857788954630937,0.007333037876846767,0.03127387018487005,-0.12094871596534654,0.15222258615021658
layer_20,0.00410650626267537,-0.002148813540392583,0.006255319803067953,-0.2214498236627862,-0.3268583694306931,0.10540854576790687
layer_21,0.001961572335498168,-0.001491559614049326,0.003453131949547494,-0.1162700086536974,-0.20436745823019803,0.08809744957650062
layer_22,0.003971916614192547,-0.0010451845603414102,0.005017101174533957,-0.17876570295579364,-0.28135152382425743,0.1025858208684638
layer_23,0.002516543511116859,-0.0015089441053938158,0.0040254876165106744,-0.2463699189743193,-0.3230729811262376,0.07670306215191831
layer_24,0.0023224164943883917,-0.0013645261821180288,0.0036869426765064202,-0.3549723861241105,-0.41724841429455445,0.062276028170443996
layer_25,1.806138765693891e-05,-0.001981198787689209,0.001999260175346148,-0.37209607114886295,-0.4341400448638614,0.06204397371499845
layer_26,-0.00028329969632743607,-0.0019207962668768251,0.001637496570549389,-0.4059837265770034,-0.44522547957920794,0.03924175300220452
layer_27,0.0021210525295521955,-0.0024774800432790624,0.004598532572831258,-0.4485369389600093,-0.5028426670792079,0.05430572811919864
layer_28,0.00013638959072604037,-0.00065811553804001,0.0007945051287660505,-0.33729039560450186,-0.3883189588490099,0.051028563244508045
layer_29,0.007536194112041209,-0.0010184533525221418,0.008554647464563352,-0.310788900545328,-0.36234336324257427,0.051554462697246284
layer_30,0.00808310331684528,-0.0010739924884078525,0.009157095805253132,-0.14214536459139077,-0.1891533879950495,0.04700802340365873
layer_31,0.008335157786265458,0.0010515221274725282,0.00728363565879293,0.11338851475479579,0.07763671875,0.03575179600479579
