layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,-5.8318177858988445e-06,-1.2271106243133545e-05,6.4392884572347e-06,-0.029915364583333333,-0.24013671875,0.21022135416666668
layer_1,-4.810094833374024e-06,-2.302726109822591e-06,-2.5073687235514325e-06,-0.11663411458333334,-0.054524739583333336,-0.062109375
layer_2,-7.65522321065267e-06,-6.042420864105225e-06,-1.6128023465474447e-06,-0.12464192708333334,-0.09293619791666667,-0.03170572916666667
layer_3,-2.0141402880350747e-06,8.99036725362142e-07,-2.913177013397217e-06,-0.03284505208333333,0.03818359375,-0.07102864583333333
layer_4,1.6892949740091959e-06,4.55776850382487e-06,-2.868473529815674e-06,0.033430989583333334,-0.00966796875,0.04309895833333333
layer_5,2.3037195205688476e-06,-1.5517075856526694e-06,3.855427106221517e-06,0.017708333333333333,-0.047591145833333334,0.06529947916666666
layer_6,-6.32554292678833e-06,-1.0756154855092367e-05,4.430611928304036e-06,-0.03017578125,-0.12731119791666667,0.09713541666666667
layer_7,-1.179675261179606e-05,-1.1551380157470704e-05,-2.4537245432535805e-07,-0.09690755208333333,-0.15784505208333333,0.0609375
layer_8,-4.999836285909017e-06,-4.150470097859701e-06,-8.493661880493164e-07,0.035384114583333334,-0.00576171875,0.04114583333333333
layer_9,8.692344029744466e-08,-2.3146470387776693e-07,3.183881441752116e-07,0.0271484375,0.024544270833333333,0.0026041666666666665
layer_10,-4.699329535166423e-06,-3.16848357518514e-06,-1.5308459599812826e-06,0.014680989583333333,-0.004850260416666667,0.01953125
layer_11,-1.5641252199808757e-06,-1.1608004570007325e-06,-4.033247629801432e-07,0.008854166666666666,0.0022786458333333335,0.006575520833333333
layer_12,-2.6802221934000652e-06,-2.368291219075521e-06,-3.119309743245443e-07,-0.029817708333333335,-0.013020833333333334,-0.016796875
layer_13,-3.213187058766683e-06,-6.854534149169922e-07,-2.5277336438496906e-06,0.013444010416666667,0.017838541666666666,-0.00439453125
layer_14,-5.201001962025961e-06,-3.886222839355469e-06,-1.3147791226704916e-06,0.00791015625,-0.030110677083333332,0.03802083333333333
layer_15,-6.6176056861877445e-06,-6.45369291305542e-06,-1.6391277313232422e-07,-0.030729166666666665,-0.1013671875,0.07063802083333333
layer_16,-6.491939226786296e-06,-5.542238553365072e-06,-9.49700673421224e-07,-0.035904947916666666,-0.06949869791666667,0.03359375
layer_17,-5.59389591217041e-06,-3.841519355773926e-06,-1.7523765563964843e-06,-0.031575520833333336,-0.05260416666666667,0.021028645833333335
layer_18,-4.309415817260742e-06,-2.950429916381836e-06,-1.3589859008789063e-06,-0.04130859375,-0.05302734375,0.01171875
layer_19,-5.304813385009766e-07,7.9423189163208e-07,-1.3247132301330567e-06,-0.00263671875,0.029264322916666665,-0.031901041666666664
layer_20,1.450379689534505e-07,5.44885794321696e-07,-3.998478253682454e-07,-0.038411458333333336,-0.022330729166666667,-0.016080729166666665
layer_21,5.101164182027181e-07,-6.894270579020182e-07,1.1995434761047363e-06,-0.005826822916666667,-0.045084635416666664,0.0392578125
layer_22,8.09629758199056e-08,-7.321437199910482e-07,8.131066958109538e-07,0.02529296875,-0.00849609375,0.0337890625
layer_23,3.5961469014485676e-07,-7.86284605662028e-07,1.1458992958068849e-06,0.0109375,-0.017317708333333334,0.028255208333333334
layer_24,1.2536843617757162e-06,1.2228886286417643e-06,3.0795733133951826e-08,0.0107421875,0.004166666666666667,0.006575520833333333
layer_25,-6.40253225962321e-07,-1.6217430432637532e-06,9.814898173014322e-07,0.007649739583333333,-0.03968098958333333,0.04733072916666667
layer_26,-5.7220458984375e-07,2.9802322387695312e-08,-6.020069122314453e-07,-0.009537760416666667,0.023665364583333334,-0.033203125
layer_27,-5.627671877543131e-07,-1.465777556101481e-06,9.03010368347168e-07,0.01162109375,-0.01611328125,0.027734375
layer_28,6.059805552164713e-08,8.866190910339355e-07,-8.260210355122884e-07,0.005891927083333333,0.029915364583333333,-0.0240234375
layer_29,-9.596347808837891e-07,-4.311402638753255e-07,-5.284945170084636e-07,-0.031184895833333334,-0.022721354166666666,-0.008463541666666666
layer_30,2.5779008865356446e-07,7.62939453125e-07,-5.051493644714355e-07,-0.015006510416666667,-0.018782552083333334,0.0037760416666666667
layer_31,-1.0445713996887206e-06,-1.2601415316263834e-06,2.1557013193766276e-07,-0.004427083333333333,-0.03815104166666667,0.03372395833333333
