layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,-4.897514979044596e-07,3.685553868611654e-07,-8.58306884765625e-07,-0.22994791666666667,-0.013802083333333333,-0.21614583333333334
layer_1,3.6468108495076495e-06,1.0779003302256266e-05,-7.1321924527486164e-06,-0.24501953125,0.006608072916666667,-0.2516276041666667
layer_2,1.5054146448771159e-05,1.1824568112691243e-05,3.229578336079915e-06,-0.16643880208333334,-0.11253255208333333,-0.05390625
layer_3,1.3588368892669677e-05,6.512800852457682e-06,7.075568040211995e-06,-0.011263020833333333,-0.12825520833333334,0.1169921875
layer_4,1.418838898340861e-05,9.141862392425537e-06,5.046526590983073e-06,0.15745442708333332,0.07392578125,0.08352864583333333
layer_5,6.8838397661844885e-06,7.847944895426432e-06,-9.641051292419434e-07,-0.03372395833333333,0.09921875,-0.13294270833333333
layer_6,3.166496753692627e-06,4.607935746510824e-06,-1.4414389928181966e-06,-0.047526041666666664,0.06829427083333334,-0.1158203125
layer_7,1.7811854680379231e-06,1.2392799059549968e-06,5.419055620829264e-07,-0.10911458333333333,-0.0005859375,-0.10852864583333334
layer_8,3.874301910400391e-08,-8.930762608846028e-07,9.318192799886067e-07,-0.0396484375,-0.024674479166666666,-0.014973958333333334
layer_9,1.7171104749043783e-06,8.145968119303385e-07,9.025136629740398e-07,0.039322916666666666,0.055403645833333334,-0.016080729166666665
layer_10,3.1987826029459633e-07,4.131595293680827e-06,-3.8117170333862306e-06,0.027734375,0.07916666666666666,-0.051432291666666664
layer_11,-2.5828679402669272e-08,3.456572691599528e-06,-3.482401371002197e-06,0.0056640625,0.06692708333333333,-0.061263020833333334
layer_12,1.5964110692342123e-06,4.31289275487264e-06,-2.716481685638428e-06,0.07776692708333334,0.08583984375,-0.008072916666666667
layer_13,3.997981548309326e-06,4.087388515472412e-06,-8.940696716308594e-08,0.049609375,0.09244791666666667,-0.04283854166666667
layer_14,-2.8232733408610026e-06,7.664163907368977e-07,-3.5896897315979005e-06,-0.03333333333333333,0.035807291666666664,-0.069140625
layer_15,1.965959866841634e-06,1.6063451766967773e-06,3.5961469014485676e-07,0.0016927083333333334,0.028385416666666666,-0.026692708333333332
layer_16,3.102421760559082e-06,2.179543177286784e-06,9.228785832722981e-07,0.0275390625,0.026106770833333334,0.0014322916666666666
layer_17,2.724925676981608e-06,1.6902883847554525e-06,1.0346372922261557e-06,0.05384114583333333,0.046875,0.006966145833333334
layer_18,7.688999176025391e-07,2.8381745020548503e-06,-2.0692745844523113e-06,0.00791015625,0.0416015625,-0.03369140625
layer_19,1.4215707778930665e-06,1.2055039405822755e-06,2.1606683731079102e-07,-0.014778645833333333,-0.0005859375,-0.014192708333333333
layer_20,1.6455849011739096e-06,1.7394622166951498e-06,-9.387731552124023e-08,0.0033203125,0.019270833333333334,-0.015950520833333332
layer_21,1.07040007909139e-06,1.6664465268452962e-06,-5.960464477539062e-07,-0.011002604166666667,0.016471354166666667,-0.027473958333333333
layer_22,1.8631418546040853e-06,1.9982457160949706e-06,-1.351038614908854e-07,-0.005729166666666666,0.022330729166666667,-0.028059895833333334
layer_23,1.8830100695292154e-06,2.0444393157958983e-06,-1.6142924626668295e-07,-0.010091145833333334,0.030208333333333334,-0.040299479166666666
layer_24,2.5063753128051756e-06,4.83940045038859e-06,-2.3330251375834147e-06,-0.0236328125,0.059309895833333334,-0.08294270833333334
layer_25,1.7657876014709473e-06,2.4686257044474282e-06,-7.028381029764811e-07,-0.028450520833333333,0.025846354166666665,-0.054296875
layer_26,1.9744038581848145e-06,2.1710991859436033e-06,-1.9669532775878905e-07,0.005859375,0.01328125,-0.007421875
layer_27,1.9053618113199869e-06,3.2221277554829913e-06,-1.3167659441630045e-06,-0.015950520833333332,0.03404947916666667,-0.05
layer_28,9.75032647450765e-07,1.837313175201416e-06,-8.62280527750651e-07,-0.01875,0.05455729166666667,-0.07330729166666666
layer_29,2.2997458775838216e-07,1.5507141749064127e-06,-1.3207395871480307e-06,-0.007486979166666667,0.040755208333333334,-0.0482421875
layer_30,7.480382919311524e-07,2.0196040471394856e-06,-1.2715657552083333e-06,-0.0044921875,0.04680989583333333,-0.05130208333333333
layer_31,3.6656856536865236e-07,2.368291219075521e-06,-2.0017226537068686e-06,-0.015234375,0.043619791666666664,-0.058854166666666666
