layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.6909973680973053,0.0034960488478342692,0.687501319249471,5.3832349141438804,0.992041015625,4.39119389851888
layer_1,0.6844995558261872,-0.0006911695003509521,0.6851907253265381,4.6887362162272135,0.46507161458333335,4.22366460164388
layer_2,0.680970714489619,0.004779066642125448,0.6761916478474935,4.7234855651855465,1.0582194010416666,3.66526616414388
layer_3,0.7032090802987416,0.022885042428970336,0.6803240378697714,5.920718638102214,2.065673828125,3.8550448099772137
layer_4,0.6908264925082525,-0.0005861977736155192,0.691412690281868,5.490038299560547,0.4261555989583333,5.063882700602213
layer_5,0.6945979019006093,0.011175082127253214,0.6834228197733562,5.626415252685547,1.6201985677083333,4.006216684977214
layer_6,0.6910480444629987,-0.006663006047407786,0.6977110505104065,6.0687004089355465,-1.8119791666666667,7.880679575602214
layer_7,0.7049096326033274,0.025860251983006795,0.6790493806203206,5.870279184977213,2.1454427083333334,3.72483647664388
layer_8,0.7090785364309947,0.027605690558751426,0.6814728458722432,6.042032114664713,1.7796305338541667,4.262401580810547
layer_9,0.6954868058363597,0.035654232899347944,0.6598325729370117,5.407697804768881,2.365861002604167,3.0418368021647137
layer_10,0.6935734490553538,0.0244023064772288,0.669171142578125,5.272378794352213,1.9348388671875,3.3375399271647135
layer_11,0.7353728195031484,0.0617622435092926,0.6736105759938558,6.24600346883138,2.6421468098958334,3.603856658935547
layer_12,0.7239988227685292,0.05716171860694885,0.6668371041615804,6.054312388102214,2.7525960286458333,3.30171635945638
layer_13,0.6952710077166557,0.0025698602199554442,0.6927011474967003,6.279361216227214,0.39871419270833336,5.88064702351888
layer_14,0.6275483349959056,0.03860844572385152,0.588939889272054,4.519815317789713,2.255875651041667,2.2639396667480467
layer_15,0.6049977282683054,0.04123489658037822,0.5637628316879273,4.518698374430339,2.2391764322916665,2.279521942138672
layer_16,0.5657279074192048,0.05054712891578674,0.5151807785034179,4.032809702555339,2.35390625,1.6789034525553386
layer_17,0.48287695050239565,0.023934537172317506,0.4589424133300781,2.9855196634928385,1.6340169270833333,1.3515027364095051
layer_18,0.22927149732907612,0.021151024103164672,0.20812047322591146,2.0454180399576822,1.5929280598958333,0.452489980061849
layer_19,0.11787363290786743,0.012873836358388265,0.10499979654947916,1.2365460713704428,1.0052734375,0.2312726338704427
layer_20,0.1333366096019745,0.008420024315516155,0.12491658528645834,1.2039151509602866,0.9623209635416666,0.2415941874186198
layer_21,0.10209077596664429,0.004305589199066162,0.09778518676757812,0.8013257344563802,0.6118815104166667,0.18944422403971353
layer_22,0.040564677119255065,0.0021120200554529825,0.03845265706380208,0.28461825052897133,0.20752766927083333,0.07709058125813802
layer_23,0.01941102147102356,0.0016355494658152263,0.017775472005208334,0.12427101135253907,0.08450520833333333,0.03976580301920573
layer_24,0.018447122971216836,0.0009938657283782959,0.01745325724283854,0.17226473490397134,0.13935546875,0.032909266153971356
layer_25,0.007632199923197428,0.0014834165573120116,0.006148783365885416,0.14009310404459635,0.12804361979166667,0.012049484252929687
layer_26,0.0066271583239237465,0.0004506548245747884,0.006176503499348959,0.10078760782877604,0.08987630208333333,0.010911305745442709
layer_27,-0.0016854941844940186,0.0001526812712351481,-0.0018381754557291667,0.05174611409505208,0.054215494791666666,-0.0024693806966145835
layer_28,0.01928934653600057,0.000690917174021403,0.018598429361979165,0.22660013834635417,0.19376627604166666,0.0328338623046875
layer_29,0.010359344879786174,0.0005448917547861735,0.009814453125,0.10449930826822916,0.08955078125,0.014948527018229166
layer_30,-0.0022720356782277426,0.00012461145718892415,-0.0023966471354166666,0.041627756754557294,0.040055338541666666,0.001572418212890625
layer_31,0.05368981162707011,-0.0008145829041798909,0.05450439453125,0.1551282246907552,0.018505859375,0.1366223653157552
