layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,-5.218229795757093e-06,3.5649851748817846e-06,-8.783214970638877e-06,-0.21163651315789472,-0.10810032894736842,-0.10353618421052632
layer_1,-1.0678015257182873e-05,4.670494481136924e-06,-1.5348509738319797e-05,-0.28050986842105263,0.1294407894736842,-0.40995065789473684
layer_2,-6.600430137232731e-06,-4.191775070993524e-06,-2.4086550662392065e-06,-0.14391447368421054,-0.03133223684210526,-0.11258223684210526
layer_3,6.499415949771279e-06,5.729574906198602e-06,7.698410435726768e-07,0.10888157894736843,0.07129934210526316,0.037582236842105265
layer_4,2.0886722363923724e-06,1.8257843820672286e-06,2.628878543251439e-07,0.039391447368421054,0.01768092105263158,0.021710526315789475
layer_5,5.0638851366545026e-06,1.953150096692537e-06,3.1107350399619654e-06,0.06924342105263158,0.03462171052631579,0.03462171052631579
layer_6,-1.0377482364052221e-06,1.1230769910310445e-07,-1.1500559355083264e-06,0.17672697368421053,0.041529605263157895,0.13519736842105262
layer_7,-1.1732703761050575e-07,1.254834626850329e-09,-1.1858187223735608e-07,0.17273848684210527,0.10986842105263157,0.06287006578947368
layer_8,1.1293511641652961e-08,4.644142953973068e-06,-4.632849442331415e-06,0.09486019736842105,0.08388157894736842,0.010978618421052631
layer_9,8.934422543174342e-07,2.8108295641447367e-06,-1.9173873098273027e-06,0.07919407894736842,0.0428453947368421,0.03634868421052632
layer_10,7.648217050652755e-07,1.7141041002775493e-06,-9.492823952122738e-07,0.0003289473684210526,-0.0017269736842105263,0.002055921052631579
layer_11,-1.0760206925241572e-06,-1.586738385652241e-06,5.107176931280839e-07,-0.0712171052631579,-0.07212171052631579,0.0009046052631578947
layer_12,-2.376656783254523e-06,-1.9387194984837583e-06,-4.379372847707648e-07,-0.04342105263157895,-0.036595394736842105,-0.0068256578947368425
layer_13,-3.703016983835321e-06,-1.2366395247609991e-06,-2.4663774590743215e-06,-0.049342105263157895,-0.0018914473684210527,-0.04745065789473684
layer_14,-4.4044695402446545e-07,7.867813110351562e-07,-1.2272282650596216e-06,-0.01981907894736842,0.023026315789473683,-0.0428453947368421
layer_15,-6.305543999922903e-07,-1.8383327283357318e-07,-4.467211271587171e-07,-0.015625,0.02154605263157895,-0.037171052631578945
layer_16,-2.911216334292763e-07,-5.295402125308388e-07,2.384185791015625e-07,-0.034292763157894736,0.007894736842105263,-0.0421875
layer_17,1.5058015522203948e-08,-3.908809862638775e-07,4.0593900178608143e-07,-0.007401315789473684,0.012828947368421053,-0.020230263157894737
layer_18,-7.177654065583882e-07,-1.1004899677477385e-06,3.8272456118935035e-07,-0.026151315789473686,0.0038651315789473683,-0.030016447368421052
layer_19,1.2567168787906045e-06,-1.407297034012644e-06,2.6640139128032484e-06,0.020970394736842105,-0.02787828947368421,0.048848684210526315
layer_20,1.601796401174445e-06,-6.098496286492599e-07,2.211646029823705e-06,0.0296875,-0.007894736842105263,0.037582236842105265
layer_21,2.204117022062603e-06,2.792007044741982e-07,1.9249163175884048e-06,0.003125,-0.004769736842105263,0.007894736842105263
layer_22,3.241865258467825e-06,2.145139794600637e-06,1.0967254638671874e-06,0.020641447368421054,0.018667763157894736,0.001973684210526316
layer_23,2.4456726877312913e-06,1.9826387104235198e-06,4.630339773077714e-07,0.003700657894736842,0.011348684210526316,-0.007648026315789474
layer_24,1.6695574710243626e-06,7.146283199912624e-07,9.549291510331003e-07,-0.0018092105263157895,-0.014884868421052631,0.013075657894736843
layer_25,1.880369688335218e-06,7.710958781995272e-07,1.1092738101356908e-06,0.02738486842105263,0.0109375,0.01644736842105263
layer_26,1.109901227449116e-06,1.621246337890625e-06,-5.113451104415091e-07,0.010197368421052632,0.02993421052631579,-0.019736842105263157
layer_27,-3.35668262682463e-07,3.3441342805561267e-07,-6.700816907380756e-07,-0.025822368421052632,0.0018092105263157895,-0.02763157894736842
layer_28,1.8471165707236842e-06,1.842097232216283e-06,5.019338507401316e-09,0.012171052631578947,0.02787828947368421,-0.015707236842105263
layer_29,7.899183976022821e-07,2.0077354029605263e-08,7.698410435726768e-07,-0.013651315789473685,-0.026069078947368422,0.012417763157894737
layer_30,6.092222113358347e-07,6.242802268580386e-07,-1.5058015522203948e-08,0.004111842105263158,0.008799342105263157,-0.0046875
layer_31,6.311818173057155e-07,9.015986793919614e-07,-2.704168620862459e-07,-0.008223684210526315,-0.005016447368421053,-0.003207236842105263
