layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,5.656480789184571e-06,-2.92360782623291e-06,8.58008861541748e-06,-0.05475260416666667,-0.03919270833333333,-0.015559895833333334
layer_1,-9.598334630330404e-06,-1.3113518555959065e-05,3.515183925628662e-06,-0.2586263020833333,-0.12008463541666667,-0.13854166666666667
layer_2,-9.628136952718099e-06,-4.22745943069458e-06,-5.400677522023519e-06,-0.27587890625,0.004264322916666666,-0.2801432291666667
layer_3,-1.7593304316202799e-06,-1.1608004570007325e-06,-5.985299746195475e-07,0.11259765625,0.10791015625,0.0046875
layer_4,-3.7749608357747394e-07,-8.707245190938313e-07,4.932284355163574e-07,0.049967447916666664,0.11666666666666667,-0.06669921875
layer_5,-7.761518160502116e-06,-8.742014567057291e-08,-7.674098014831543e-06,-0.09104817708333333,0.08662109375,-0.17766927083333334
layer_6,-1.0394056638081868e-05,-5.716085433959961e-06,-4.677971204121908e-06,-0.15836588541666666,0.0030924479166666665,-0.16145833333333334
layer_7,-3.053247928619385e-06,-2.8078754742940267e-06,-2.4537245432535805e-07,-0.13291015625,0.00439453125,-0.1373046875
layer_8,-3.257890542348226e-06,-5.063414573669434e-06,1.8055240313212078e-06,-0.13385416666666666,-0.060546875,-0.07330729166666666
layer_9,-4.689892133076986e-06,-5.493561426798503e-07,-4.1405359903971355e-06,-0.12666015625,-0.02177734375,-0.1048828125
layer_10,-5.934635798136393e-06,-4.6640634536743165e-07,-5.468229452768961e-06,-0.14791666666666667,-0.01552734375,-0.13238932291666666
layer_11,-5.974372227986654e-06,-2.9399991035461427e-06,-3.034373124440511e-06,-0.11653645833333333,-0.02890625,-0.08763020833333333
layer_12,-4.2065978050231935e-06,7.584691047668457e-07,-4.965066909790039e-06,-0.035872395833333334,0.0658203125,-0.10169270833333334
layer_13,-3.706912199656169e-06,4.207094510396322e-07,-4.127621650695801e-06,-0.00908203125,0.06595052083333333,-0.07503255208333333
layer_14,-2.8068820635477703e-06,1.165767510732015e-06,-3.9726495742797855e-06,-0.005598958333333333,0.029361979166666666,-0.0349609375
layer_15,-4.174311955769857e-06,-3.437201182047526e-07,-3.830591837565104e-06,-0.003483072916666667,0.018522135416666665,-0.022005208333333335
layer_16,-3.1267603238423667e-06,-1.7796953519185385e-06,-1.3470649719238282e-06,0.005403645833333333,-0.0032552083333333335,0.008658854166666667
layer_17,-3.0746062596639e-06,-7.972121238708496e-07,-2.2773941357930503e-06,-0.019270833333333334,0.008235677083333334,-0.027506510416666668
layer_18,-1.1498729387919109e-06,-4.033247629801432e-07,-7.465481758117676e-07,0.019498697916666665,0.0416015625,-0.022102864583333333
layer_19,-3.7079056104024253e-06,-1.0187427202860513e-06,-2.6891628901163737e-06,-0.014518229166666667,0.03619791666666667,-0.05071614583333333
layer_20,-1.6550223032633463e-06,-1.4523665110270183e-06,-2.0265579223632812e-07,0.0216796875,0.03177083333333333,-0.010091145833333334
layer_21,-1.994272073109945e-06,-1.3689200083414713e-06,-6.253520647684733e-07,0.005403645833333333,0.0365234375,-0.031119791666666667
layer_22,-3.384550412495931e-06,-2.9534101486206053e-06,-4.311402638753255e-07,0.00908203125,0.020182291666666668,-0.011100260416666667
layer_23,-3.874301910400391e-06,-6.24855359395345e-07,-3.2494465510050455e-06,0.0,0.050065104166666666,-0.050065104166666666
layer_24,-5.001326402028402e-06,-1.85320774714152e-06,-3.1481186548868817e-06,-0.020345052083333332,-0.015690104166666666,-0.004654947916666667
layer_25,-9.57647959391276e-07,5.265076955159505e-08,-1.010298728942871e-06,-0.014908854166666667,0.05309244791666667,-0.06800130208333334
layer_26,-3.0080477396647137e-06,-2.8838713963826497e-06,-1.241763432820638e-07,-0.035384114583333334,0.006673177083333333,-0.04205729166666667
layer_27,-5.528330802917481e-07,-7.018446922302246e-07,1.4901161193847656e-07,-0.01435546875,0.0099609375,-0.02431640625
layer_28,-1.6902883847554525e-06,-3.8842360178629557e-07,-1.3018647829691568e-06,0.0033203125,0.018717447916666668,-0.015397135416666667
layer_29,-8.742014567057291e-08,3.1073888142903646e-06,-3.1948089599609376e-06,-0.0037109375,0.073046875,-0.0767578125
layer_30,3.178914388020833e-08,-3.4968058268229164e-07,3.814697265625e-07,-0.035319010416666664,-0.0015625,-0.03375651041666667
layer_31,-7.341305414835612e-07,2.3792187372843425e-07,-9.720524152119955e-07,0.00026041666666666666,0.027278645833333334,-0.027018229166666668
