layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.014448750615119934,0.017552770972251892,-0.003104020357131958,6.2022265625,8.328515625,-2.1262890625
layer_1,-0.008326313495635985,0.0019443553686141967,-0.010270668864250184,2.7005078125,5.45353515625,-2.75302734375
layer_2,0.015280531048774719,0.02673306703567505,-0.01145253598690033,5.678857421875,8.668408203125,-2.98955078125
layer_3,0.0028403639793395997,0.0014908230304718018,0.001349540948867798,7.164140625,5.9032421875,1.2608984375
layer_4,0.013089897632598877,0.012639814019203187,0.0004500836133956909,7.3520703125,7.938828125,-0.5867578125
layer_5,0.02757356584072113,0.028516236543655395,-0.0009426707029342651,7.8034375,8.92671875,-1.12328125
layer_6,0.001519988775253296,1.3277530670166015e-05,0.0015067112445831298,5.823515625,2.6034765625,3.2200390625
layer_7,0.0014973634481430054,-1.3033747673034667e-05,0.00151039719581604,5.6012890625,2.14015625,3.4611328125
layer_8,0.0015361714363098145,1.8160343170166016e-05,0.0015180110931396484,6.9255859375,2.91265625,4.0129296875
layer_9,0.0014849549531936645,-3.0124783515930177e-05,0.0015150797367095947,5.0105859375,1.443828125,3.5667578125
layer_10,0.0015652304887771606,0.00012143075466156006,0.0014437997341156005,6.5128125,3.6139453125,2.8988671875
layer_11,0.003125641942024231,0.001764763593673706,0.001360878348350525,7.978203125,5.5647265625,2.4134765625
layer_12,0.023726218342781068,0.025497680306434633,-0.0017714619636535645,7.277216796875,8.517255859375,-1.2400390625
layer_13,0.006136721968650818,0.004763736128807068,0.00137298583984375,8.32333984375,6.11392578125,2.2094140625
layer_14,0.0039008331298828127,0.004928913116455078,-0.0010280799865722656,5.06244140625,6.0778125,-1.01537109375
layer_15,0.0028152215480804444,0.0026431173086166383,0.00017210423946380614,4.675,4.6552734375,0.0197265625
layer_16,0.0006993073225021362,0.0005463027954101563,0.00015300452709197997,2.92490234375,2.851640625,0.07326171875
layer_17,-0.00018786191940307618,0.0006529474258422851,-0.0008408093452453614,2.3145703125,3.0655859375,-0.751015625
layer_18,-0.002406212091445923,0.0004817044734954834,-0.002887916564941406,0.9146875,2.4308984375,-1.5162109375
layer_19,-0.0002286320924758911,0.00014894545078277587,-0.000377577543258667,1.11861328125,1.2103125,-0.09169921875
layer_20,-0.0005669182538986206,0.00012275874614715577,-0.0006896770000457764,0.8676171875,1.191953125,-0.3243359375
layer_21,0.00014861583709716798,0.00012533307075500487,2.3282766342163086e-05,1.080078125,1.38640625,-0.306328125
layer_22,1.2243986129760741e-05,0.00010979235172271728,-9.754836559295654e-05,0.77416015625,1.1148046875,-0.34064453125
layer_23,-0.001320686936378479,0.00012239754199981688,-0.0014430844783782958,0.57390625,1.2190234375,-0.6451171875
layer_24,-0.0007040345668792724,0.00012313663959503173,-0.0008271712064743042,0.6590234375,1.23859375,-0.5795703125
layer_25,-0.0018664056062698364,0.00015090107917785643,-0.002017306685447693,0.56919921875,1.2409375,-0.67173828125
layer_26,-0.0014446920156478882,0.00012239694595336914,-0.0015670889616012573,0.4110546875,1.243515625,-0.8324609375
layer_27,-0.0015422499179840088,9.500980377197266e-05,-0.0016372597217559814,0.29810546875,1.1914453125,-0.89333984375
layer_28,-0.0015577012300491333,0.00010028302669525147,-0.0016579842567443848,0.5895703125,1.529453125,-0.9398828125
layer_29,-0.00221149742603302,8.649170398712158e-05,-0.0022979891300201416,0.17865234375,1.2630859375,-1.08443359375
layer_30,-0.0003250801563262939,3.7270188331604e-05,-0.0003623503446578979,0.60755859375,0.7689453125,-0.16138671875
layer_31,-8.34500789642334e-05,1.0560750961303711e-05,-9.401082992553711e-05,0.27845703125,0.323046875,-0.04458984375
