layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.01378497302532196,-0.0010027015209197999,0.01478767454624176,1.8873046875,-0.9932421875,2.880546875
layer_1,0.012569241523742676,-0.0006162172555923462,0.013185458779335022,0.0106640625,0.859609375,-0.8489453125
layer_2,0.01483105480670929,0.0007016193866729736,0.014129435420036316,3.0992578125,3.0715234375,0.027734375
layer_3,0.013862115740776062,-0.000922136902809143,0.014784252643585205,3.006953125,-0.4109375,3.417890625
layer_4,0.01759801685810089,0.004739218354225159,0.012858798503875732,2.78521484375,3.53640625,-0.75119140625
layer_5,0.013231879472732544,0.0012664473056793212,0.011965432167053223,1.67091796875,3.2547265625,-1.58380859375
layer_6,0.01359542965888977,-0.0009289109706878663,0.014524340629577637,1.148203125,-0.0404296875,1.1886328125
layer_7,0.004156961441040039,0.012402983903884888,-0.008246022462844848,0.721591796875,4.70154296875,-3.979951171875
layer_8,0.01379124104976654,-0.0008540767431259156,0.014645317792892456,2.2086328125,0.7482421875,1.460390625
layer_9,0.014390732049942017,0.0006438177824020385,0.013746914267539979,1.96712890625,2.30353515625,-0.33640625
layer_10,0.029278290867805482,0.03979148089885712,-0.010513190031051636,2.39029296875,6.20484375,-3.81455078125
layer_11,0.003621828556060791,0.005805462002754212,-0.0021836334466934205,0.5367578125,3.58810546875,-3.05134765625
layer_12,0.01377390205860138,-0.00040414094924926756,0.014178043007850647,1.79359375,1.531953125,0.261640625
layer_13,0.01351869523525238,0.0032576799392700197,0.01026101529598236,3.933642578125,0.40939453125,3.524248046875
layer_14,0.013254055380821228,-0.0006489807367324829,0.01390303611755371,0.7844921875,-0.00015625,0.7846484375
layer_15,0.010504265427589416,0.0007215654850006104,0.009782699942588806,2.59484375,0.3988671875,2.1959765625
layer_16,0.008431695103645324,0.0006241095066070556,0.007807585597038269,0.82484375,0.47951171875,0.34533203125
layer_17,0.013519418239593507,0.0006458830833435059,0.01287353515625,1.6887890625,0.55677734375,1.13201171875
layer_18,-0.000189054012298584,5.676388740539551e-05,-0.0002458178997039795,-0.106435546875,0.38923828125,-0.495673828125
layer_19,0.0007444959878921509,9.665250778198242e-05,0.0006478434801101685,-0.165419921875,-0.3115625,0.146142578125
layer_20,0.006632456183433532,0.0005589896440505982,0.006073466539382935,1.1597265625,0.625703125,0.5340234375
layer_21,0.0010633313655853272,0.00024874210357666015,0.000814589262008667,0.5456640625,0.1763671875,0.369296875
layer_22,0.002850215435028076,-0.0004600274562835693,0.0033102428913116457,-0.255498046875,-0.62162109375,0.366123046875
layer_23,0.001143038272857666,2.060532569885254e-06,0.0011409777402877808,-0.016220703125,0.000234375,-0.016455078125
layer_24,0.0017395961284637452,-0.00016362428665161132,0.0019032204151153565,0.01712890625,0.173671875,-0.15654296875
layer_25,0.0010194981098175049,-0.00018143057823181153,0.0012009286880493165,0.19998046875,0.34703125,-0.14705078125
layer_26,-0.00019910216331481934,0.00019157350063323976,-0.00039067566394805907,-0.096298828125,0.027421875,-0.123720703125
layer_27,0.0024779367446899413,-0.0005954164266586304,0.0030733531713485716,-0.735595703125,-0.763828125,0.028232421875
layer_28,0.0008630496263504028,-0.0005950027704238891,0.001458052396774292,-0.235791015625,-0.3925,0.156708984375
layer_29,0.0002892345190048218,0.00018252432346343994,0.00010671019554138183,0.1951953125,0.26498046875,-0.06978515625
layer_30,-0.0019267380237579345,-0.00011630058288574219,-0.0018104374408721923,0.03111328125,-0.319453125,0.35056640625
layer_31,-0.00029932856559753416,0.0007632637023925782,-0.0010625922679901123,0.229453125,0.47134765625,-0.24189453125
