layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.005359445810317993,0.016617236137390138,-0.011257790327072144,3.5135546875,7.26724609375,-3.75369140625
layer_1,-0.0066109180450439455,0.009615955352783203,-0.01622687339782715,2.644453125,6.7575390625,-4.1130859375
layer_2,-0.006070981025695801,0.0212688684463501,-0.0273398494720459,2.9405859375,7.59279296875,-4.65220703125
layer_3,0.03129340648651123,0.05021549701690674,-0.018922090530395508,4.370869140625,8.576357421875,-4.20548828125
layer_4,0.0020068055391311646,0.0016643798351287842,0.00034242570400238036,3.82515625,5.0707421875,-1.2455859375
layer_5,0.022954535484313966,0.04065266132354736,-0.0176981258392334,4.09908203125,8.310078125,-4.21099609375
layer_6,0.008800249099731445,0.009754381775856018,-0.0009541326761245728,4.64982421875,6.08673828125,-1.4369140625
layer_7,0.06439751148223877,0.0808026933670044,-0.016405181884765627,5.096923828125,9.043232421875,-3.94630859375
layer_8,0.045121638774871825,0.05947176933288574,-0.014350130558013915,4.760654296875,8.18603515625,-3.425380859375
layer_9,0.06132371425628662,0.0956394624710083,-0.03431574821472168,4.456708984375,9.209482421875,-4.7527734375
layer_10,0.019273505210876465,0.052648186683654785,-0.03337468147277832,3.7311328125,8.52841796875,-4.79728515625
layer_11,0.06719059467315674,0.08881432056427002,-0.02162372589111328,4.7227587890625,8.9867041015625,-4.2639453125
layer_12,0.032019362449646,0.04948009967803955,-0.017460737228393555,4.1584130859375,8.3486083984375,-4.1901953125
layer_13,0.008958430886268616,0.009823980331420899,-0.0008655494451522827,4.8928125,6.32439453125,-1.43158203125
layer_14,-0.026932168006896972,0.04796427249908447,-0.07489644050598145,3.22849609375,8.320703125,-5.09220703125
layer_15,-0.00031295061111450193,0.0024293923377990724,-0.002742342948913574,3.52587890625,1.8044140625,1.72146484375
layer_16,0.0003781622648239136,0.0029115009307861327,-0.0025333386659622194,2.8792578125,1.8080859375,1.071171875
layer_17,-0.00012513697147369384,0.0010930925607681274,-0.0012182295322418213,2.36296875,1.541875,0.82109375
layer_18,-0.0026354730129241944,0.002904449701309204,-0.005539922714233398,1.76220703125,2.7160546875,-0.95384765625
layer_19,-0.0021628254652023317,0.000818212628364563,-0.0029810380935668943,1.19083984375,1.16068359375,0.03015625
layer_20,-0.0026587486267089845,0.0007336455583572388,-0.003392394185066223,0.9112109375,1.8162890625,-0.905078125
layer_21,-0.000478440523147583,0.00029432058334350587,-0.0007727611064910889,0.7714453125,1.2759765625,-0.50453125
layer_22,-0.0004261106252670288,0.00014227449893951415,-0.000568385124206543,0.19765625,0.97484375,-0.7771875
layer_23,-2.237975597381592e-05,0.00010447263717651367,-0.0001268523931503296,0.17228515625,0.8224609375,-0.65017578125
layer_24,0.0004936182498931885,5.8313608169555666e-05,0.0004353046417236328,0.336171875,0.6033203125,-0.2671484375
layer_25,0.0005726313591003418,1.1078715324401856e-05,0.00056155264377594,0.2586328125,0.0123046875,0.246328125
layer_26,0.0008753162622451783,-4.0485262870788575e-05,0.0009158015251159668,0.1891796875,-0.361015625,0.5501953125
layer_27,-9.644567966461181e-05,2.7408599853515624e-05,-0.00012385427951812743,0.075078125,0.0926953125,-0.0176171875
layer_28,-0.0012578129768371581,0.00010589659214019776,-0.001363709568977356,0.19583984375,0.329140625,-0.13330078125
layer_29,-0.002311549782752991,0.00010888457298278808,-0.002420434355735779,-0.01427734375,0.8179296875,-0.83220703125
layer_30,-0.001647108793258667,9.666681289672851e-05,-0.0017437756061553956,-0.06109375,0.7433203125,-0.8044140625
layer_31,-0.0008483821153640747,2.9833912849426268e-05,-0.000878216028213501,0.01623046875,0.2745703125,-0.25833984375
