layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.00044866263866424563,0.00012217402458190917,0.0003264886140823364,2.9734375,2.9041015625,0.0693359375
layer_1,0.0006086158752441406,0.001372905969619751,-0.0007642900943756103,2.974296875,4.7508984375,-1.7766015625
layer_2,0.0005758845806121826,0.000452120304107666,0.0001237642765045166,3.3967578125,3.9892578125,-0.5925
layer_3,0.0004491567611694336,5.422353744506836e-05,0.00039493322372436524,3.1039453125,2.573671875,0.5302734375
layer_4,0.003952577114105225,0.009531143307685851,-0.005578566193580627,3.4569140625,6.98849609375,-3.53158203125
layer_5,0.0007689160108566284,0.003480154275894165,-0.0027112382650375366,3.11375,5.54951171875,-2.43576171875
layer_6,0.00042129337787628174,-2.3701190948486327e-05,0.0004449945688247681,2.7079296875,1.0724609375,1.63546875
layer_7,-0.014296756982803345,0.01340112030506134,-0.027697877287864686,2.5465234375,7.337890625,-4.7913671875
layer_8,0.00044997453689575194,8.300244808197021e-05,0.00036697208881378176,3.3534375,2.6363671875,0.7170703125
layer_9,0.000430411696434021,-5.8789253234863284e-05,0.0004892009496688843,3.2503515625,0.21203125,3.0383203125
layer_10,-0.0010632944107055663,0.012825451493263244,-0.01388874590396881,2.833671875,7.39955078125,-4.56587890625
layer_11,0.00040664970874786376,-6.233453750610351e-05,0.0004689842462539673,1.8874609375,-0.22484375,2.1123046875
layer_12,-7.771968841552735e-05,0.00019863367080688476,-0.0002763533592224121,2.010625,2.0831640625,-0.0725390625
layer_13,0.0003326481580734253,5.894601345062256e-05,0.00027370214462280274,1.936953125,1.3416015625,0.5953515625
layer_14,0.00040956974029541013,-6.161510944366455e-05,0.0004711848497390747,1.5097265625,-0.337109375,1.8468359375
layer_15,0.0004202157258987427,-6.582796573638917e-05,0.00048604369163513184,1.5798828125,-0.98984375,2.5697265625
layer_16,0.00015089988708496093,8.234262466430664e-05,6.85572624206543e-05,1.1776171875,1.7537890625,-0.576171875
layer_17,0.00025735855102539064,2.0312070846557616e-05,0.000237046480178833,1.2940625,1.2438671875,0.0501953125
layer_18,0.00020861804485321046,-1.869678497314453e-05,0.00022731482982635498,0.6017578125,-0.13765625,0.7394140625
layer_19,0.00023475289344787598,-2.7605295181274413e-05,0.0002623581886291504,0.5055859375,-0.4809765625,0.9865625
layer_20,0.00036288559436798096,-4.905164241790772e-05,0.00041193723678588866,0.753125,-0.67640625,1.42953125
layer_21,0.0002884739637374878,-3.9098262786865237e-05,0.00032757222652435303,0.105625,-0.7636328125,0.8692578125
layer_22,0.00030286312103271483,-5.016624927520752e-05,0.0003530293703079224,-0.007265625,-1.1980078125,1.1907421875
layer_23,3.4298300743103024e-05,-8.704662322998046e-06,4.3002963066101076e-05,0.194921875,-0.112578125,0.3075
layer_24,-0.00023474931716918946,4.10926342010498e-05,-0.00027584195137023924,0.1540234375,0.7323046875,-0.57828125
layer_25,9.261727333068847e-05,-7.318258285522461e-06,9.993553161621094e-05,0.0433984375,0.07765625,-0.0342578125
layer_26,0.00021652162075042725,-3.558576107025146e-05,0.0002521073818206787,0.0944921875,0.0408203125,0.053671875
layer_27,-2.9098987579345703e-06,1.801609992980957e-05,-2.092599868774414e-05,-0.040859375,0.5340625,-0.574921875
layer_28,0.0001444566249847412,-1.6211271286010743e-05,0.00016066789627075195,-0.12125,-0.256953125,0.135703125
layer_29,-0.00010574221611022949,6.998181343078613e-06,-0.00011274039745330811,-0.3077734375,-0.0213671875,-0.28640625
layer_30,-7.783770561218262e-06,-7.944107055664063e-06,1.6033649444580078e-07,-0.13703125,-0.100078125,-0.036953125
layer_31,-0.00012420356273651123,1.5218853950500489e-05,-0.0001394224166870117,-0.0021875,0.17609375,-0.17828125
