layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.0018231302499771118,0.006784783601760864,-0.004961653351783752,3.69169921875,5.53322265625,-1.8415234375
layer_1,-0.0007052290439605713,0.0008013981580734253,-0.0015066272020339965,2.63708984375,2.986796875,-0.34970703125
layer_2,0.0027858823537826537,0.015142374634742738,-0.012356492280960083,3.78138671875,6.3258984375,-2.54451171875
layer_3,0.002096499800682068,0.0011392188072204589,0.0009572809934616089,5.87736328125,4.06181640625,1.815546875
layer_4,0.007055147886276245,0.007918370962142944,-0.0008632230758666992,5.72484375,6.24056640625,-0.51572265625
layer_5,0.015681190490722655,0.01861030399799347,-0.002929113507270813,5.74185546875,6.958984375,-1.21712890625
layer_6,0.001070917248725891,-8.561015129089355e-05,0.0011565274000167847,5.2719921875,1.3805859375,3.89140625
layer_7,0.001060546636581421,-0.00010101497173309326,0.0011615616083145142,5.5737890625,1.3122265625,4.2615625
layer_8,0.0010694074630737305,-9.353458881378174e-05,0.0011629420518875122,6.1575,1.39703125,4.76046875
layer_9,0.0010511732101440429,-0.00010970830917358398,0.001160881519317627,5.395078125,1.124375,4.270703125
layer_10,0.0011795765161514281,4.3175220489501954e-05,0.0011364012956619264,6.331796875,2.369921875,3.961875
layer_11,0.0014638954401016235,0.0007159006595611572,0.0007479947805404663,6.40140625,3.46328125,2.938125
layer_12,0.013322100639343262,0.015123652815818787,-0.0018015521764755248,6.35228515625,6.548984375,-0.19669921875
layer_13,0.003256135582923889,0.002397037148475647,0.0008590984344482422,6.49828125,4.26953125,2.22875
layer_14,0.003951277732849121,0.004454439282417297,-0.0005031615495681762,4.3212109375,4.5145703125,-0.193359375
layer_15,0.0025035738945007324,0.0017206937074661255,0.0007828801870346069,4.476953125,3.152734375,1.32421875
layer_16,0.0009548699855804443,0.00034286320209503174,0.0006120067834854126,2.98875,2.0251171875,0.9636328125
layer_17,0.0003002172708511353,0.0011202168464660644,-0.0008199995756149292,2.45482421875,2.55287109375,-0.098046875
layer_18,-0.0017355316877365112,0.001087162494659424,-0.002822694182395935,1.0144140625,1.91873046875,-0.90431640625
layer_19,-0.0001508355140686035,0.0002167588472366333,-0.0003675943613052368,1.02828125,0.9268359375,0.1014453125
layer_20,-0.0004925906658172607,0.0002693706750869751,-0.0007619613409042358,0.6623046875,1.047734375,-0.3854296875
layer_21,-0.00044522345066070555,0.00024269640445709228,-0.0006879198551177978,0.591953125,1.1189453125,-0.5269921875
layer_22,-0.0004444044828414917,0.0002131444215774536,-0.0006575489044189453,0.4149609375,0.988125,-0.5731640625
layer_23,-0.0006427758932113647,0.0002762848138809204,-0.0009190607070922852,0.38888671875,1.0220703125,-0.63318359375
layer_24,-0.0007531929016113281,0.0002456521987915039,-0.000998845100402832,0.2846875,0.906015625,-0.621328125
layer_25,-0.00113544762134552,0.00021366596221923827,-0.0013491135835647582,0.2332421875,0.7876171875,-0.554375
layer_26,-0.001294565200805664,0.0002010565996170044,-0.0014956218004226684,0.15455078125,0.9005859375,-0.74603515625
layer_27,-0.0012171554565429687,0.00017364144325256346,-0.0013907968997955323,0.08912109375,0.8777734375,-0.78865234375
layer_28,-0.0008944660425186157,0.00015626430511474608,-0.001050730347633362,0.19056640625,0.9780078125,-0.78744140625
layer_29,-0.001248706579208374,0.00016211390495300294,-0.001410820484161377,-0.0208203125,0.85875,-0.8795703125
layer_30,-0.00041061222553253176,5.259096622467041e-05,-0.00046320319175720216,0.06109375,0.38484375,-0.32375
layer_31,-9.52082872390747e-05,6.902217864990234e-06,-0.00010211050510406495,0.15119140625,0.1687109375,-0.01751953125
