layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.038859622982832104,-0.011336290492461277,0.05019591347529338,0.8064058743990384,0.27279897836538464,0.5336068960336539
layer_1,0.03859146340535237,-0.011303376119870406,0.04989483952522278,0.26170935997596156,1.9183443509615385,-1.6566349909855769
layer_2,0.038624079181597784,-0.011314334204563728,0.04993841338616151,-0.04282789963942308,1.7742262620192308,-1.8170541616586537
layer_3,0.03848484215828089,-0.010276285501626821,0.048761127659907706,1.3482478215144231,5.0049579326923075,-3.6567101111778846
layer_4,0.03904659587603349,-0.010919110706219306,0.04996570658225279,2.486506535456731,4.787560096153846,-2.3010535606971154
layer_5,0.038912130089906544,-0.011141413679489722,0.05005354376939627,2.0174936147836537,3.8608774038461537,-1.8433837890625
layer_6,0.04678117770415086,0.01663616127692736,0.0301450164272235,1.9939903846153846,8.213914137620192,-6.2199237530048075
layer_7,0.02945693238423421,0.018590638270744912,0.010866294113489298,1.56488037109375,8.109957181490385,-6.545076810396635
layer_8,0.015380513209563035,0.010166857105035048,0.005213656104527987,1.0722233698918269,7.6438457782451925,-6.571622408353365
layer_9,0.003145903922044314,0.0097342488857416,-0.006588344963697286,0.8334984412560096,6.7127239520733175,-5.8792255108173075
layer_10,0.03426151321484493,0.01824236145386329,0.016019151760981634,1.3947237454927885,6.830693171574519,-5.435969426081731
layer_11,0.03165438140814121,0.012196084054616781,0.019458297353524428,1.662084726186899,5.409239548903245,-3.7471548227163463
layer_12,0.018121936573432043,0.008431572180527907,0.009690364392904134,0.6332479623647836,2.11526606633113,-1.4820181039663463
layer_13,0.01212133581821735,0.005472265183925629,0.006649070634291722,0.41650977501502406,0.7062624417818509,-0.2897526667668269
layer_14,0.028371856189691104,0.00832948088645935,0.020042375303231753,0.6784456693209134,0.7049161470853366,-0.026470477764423076
layer_15,0.032733491980112515,0.01059329853608058,0.022140193444031935,0.8290287898137019,0.7258136455829327,0.10321514423076923
layer_16,0.02295750379562378,0.0038629208619777975,0.019094582933645982,0.4949199969951923,0.44831261268028844,0.04660738431490385
layer_17,0.01571450153222451,0.0029945293298134436,0.012719972202411065,0.3143357496995192,0.27835317758413464,0.035982572115384616
layer_18,0.0076146658796530505,0.0019645335582586434,0.005650132321394407,0.2916306715745192,0.43953763521634615,-0.14790696364182693
layer_19,0.008382675739435049,0.0013983301245249235,0.006984345614910126,0.19010573167067307,0.23743614783653846,-0.047330416165865384
layer_20,0.004356734454631805,0.0003638634314903846,0.0039928710231414205,0.004812387319711538,0.10076904296875,-0.09595665564903846
layer_21,0.0035523812358195963,0.0007473929570271418,0.002804988278792455,0.061593862680288464,0.09247765174278846,-0.0308837890625
layer_22,0.0018512125198657697,0.0008050988499934857,0.001046113669872284,-0.003277118389423077,-0.016136756310096152,0.012859637920673076
layer_23,0.0013855678530839772,0.00016493464891727155,0.0012206332041667057,-0.045194185697115384,-0.06667386568509616,0.021479679987980768
layer_24,0.002959431363986089,0.0002444237470626831,0.0027150076169234058,0.059706467848557696,-0.00946044921875,0.0691669170673077
layer_25,0.00267640443948599,0.0005140476501905001,0.00216235678929549,0.0013474684495192308,0.007051908052884615,-0.005704439603365385
layer_26,0.0005660372284742502,0.0010098471091343807,-0.0004438098806601304,-0.07084303635817307,0.009141188401442308,-0.07998422475961539
layer_27,0.0010189465605295622,0.0004068670364526602,0.000612079524076902,-0.10467998798076923,-0.022301307091346152,-0.08237868088942307
layer_28,0.0014938884056531466,0.0003561480687214778,0.0011377403369316687,-0.09950608473557693,-0.028301532451923076,-0.07120455228365384
layer_29,0.002188959373877599,-8.321897341654851e-05,0.002272178347294147,-0.13051663912259615,-0.0801532451923077,-0.050363393930288464
layer_30,0.0023590028285980225,0.00038510503677221446,0.001973897791825808,-0.08585768479567307,-0.04193584735576923,-0.04392183743990385
layer_31,0.0016997181452237642,0.0008528524866470924,0.0008468656585766719,0.05465228740985577,0.15605280949519232,-0.10140052208533654
