layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.31195849530837116,-0.04706665277481079,0.3590251480831819,3.025492410098805,-6.806451056985294,9.831943467084098
layer_1,0.31329282732570873,-0.03736388402826646,0.3506567113539752,2.8865907556870405,-0.6269473805147059,3.5135381362017464
layer_2,0.31209716095643886,-0.046266017941867604,0.35836317889830643,3.0127626306870403,-3.2490062040441177,6.261768834731158
layer_3,0.3121291532235987,-0.04577205601860495,0.35790120924220364,2.956328807157629,-2.8280962775735294,5.784425084731158
layer_4,0.31194470349480125,-0.046856430698843564,0.3588011341936448,2.711521821863511,-4.608702895220588,7.320224717084099
layer_5,0.3119061217588537,-0.04686667217927821,0.3587727939381319,2.522505277745864,-4.519594439338236,7.042099717084099
layer_6,0.3110011423335356,-0.04230681727914249,0.3533079596126781,2.5129924100988053,-1.4796128216911764,3.9926052317899816
layer_7,0.30904828099643483,-0.033900094032287595,0.34294837502872244,2.5001936968635112,-0.4042911305147059,2.904484827378217
layer_8,0.3089385600651012,-0.044532379683326274,0.35347093974842747,1.8226431453929228,-2.5441348805147057,4.366778025907629
layer_9,0.2833650013979743,-0.004108071327209473,0.2874730727251838,2.0788184670840995,0.63935546875,1.4394629983340992
layer_10,0.2574347089318668,-0.010666590578415815,0.2681012995102826,1.7000213623046876,0.38801125919117646,1.312010103113511
layer_11,0.21016688487109017,0.0019013783510993508,0.20826550651999082,1.4964224422679229,0.7023035386029411,0.7941189036649816
layer_12,0.10009690312778248,0.001573056333205279,0.09852384679457721,0.7449044620289522,0.5257755055147059,0.21912895651424633
layer_13,0.1143236146253698,0.0035643731846528894,0.11075924144071692,0.7606816908892463,0.5689395680147059,0.19174212287454045
layer_14,0.0766647408990299,0.011504146632026223,0.06516059426700367,0.6799494126263786,0.5061695772058824,0.17377983542049633
layer_15,0.15015284454121308,0.0031645704718197094,0.14698827406939338,0.9871824376723346,0.515085018382353,0.4720974192899816
layer_16,0.05482230747447294,-0.00348206407883588,0.05830437155330882,0.3414954690372243,0.14516888786764706,0.1963265811695772
layer_17,0.040588213415706856,0.003309286341947668,0.03727892707375919,0.3050142176011029,0.16330422794117647,0.14170998965992648
layer_18,0.02317831656512092,0.005483237434835995,0.017695079130284928,0.2760682947495404,0.2143210018382353,0.061747292911305145
layer_19,0.009549895454855526,0.0010221172781551585,0.008527778176700368,0.15369675580193015,0.08003791360294117,0.07365884219898897
layer_20,0.0175061352112714,0.01231832644518684,0.005187808766084559,0.21639853084788602,0.21992761948529413,-0.0035290886374080882
layer_21,0.014281382280237535,0.012438120561487534,0.00184326171875,0.20756297392003675,0.20699103860294119,0.0005719353170955883
layer_22,0.009994816078859218,0.012781789022333482,-0.002786972943474265,0.1518301571116728,0.12898092830882352,0.022849228802849265
layer_23,0.005958515756270465,0.008914502228007597,-0.0029559864717371323,0.09090001723345588,0.07818244485294118,0.012717572380514706
layer_24,0.007889712558073156,0.008209339310141171,-0.0003196267520680147,0.14995565975413602,0.12050206801470588,0.029453591739430147
layer_25,-0.00178071050082936,0.005377815751468434,-0.007158526252297794,0.014585248161764706,0.004727711397058823,0.009857536764705882
layer_26,-0.004395187602323644,0.00307156618903665,-0.007466753791360294,-0.02031106387867647,-0.027923943014705882,0.007612879136029412
layer_27,0.002333568825441248,0.0029198653557721307,-0.0005862965303308823,-0.0016348446116727941,-0.02736672794117647,0.025731883329503675
layer_28,0.0017409436842974494,0.0009035054375143612,0.0008374382467830882,0.01822384105009191,-0.02279986213235294,0.04102370318244485
layer_29,0.0061817323460298425,-0.0010721164591172162,0.007253848805147059,0.02791765998391544,-0.022357536764705883,0.050275196748621326
layer_30,0.0053890003877527575,0.0013072743135340073,0.00408172607421875,0.03599117503446691,0.0038717830882352942,0.03211939194623162
layer_31,-0.0010870751212624943,-0.00032772597144631777,-0.0007593491498161765,-0.03134711770450368,-0.03203699448529412,0.0006898767807904412
