layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.31909114613252526,-0.039406904052285585,0.35849805018481085,3.068455415613511,-3.677136948529412,6.745592364142923
layer_1,0.32391444094040817,-0.029338368247537053,0.3532528091879452,3.427692547966452,-0.5443474264705882,3.9720399744370405
layer_2,0.32841560980852913,-0.01607493512770709,0.3444905449362362,3.177830415613511,0.30323988970588234,2.8745905259076285
layer_3,0.32661482586580165,-0.022666440290563247,0.3492812661563649,3.3443285773782168,0.019278492647058824,3.325050084731158
layer_4,0.3273644026587991,-0.018421108582440546,0.3457855112412397,3.2835749009076287,0.05857077205882353,3.225004128848805
layer_5,0.319393045762006,-0.03887159263386446,0.3582646383958704,3.3054958567899817,-3.0281479779411766,6.333643834731158
layer_6,0.3308285488801844,-0.02019359083736644,0.35102213971755086,3.7420997170840993,-0.21596966911764706,3.958069386201746
layer_7,0.3225097039166619,-0.029421037786147172,0.3519307417028091,3.287871775907629,-0.5754365808823529,3.8633083567899815
layer_8,0.3204953333910774,-0.004407728419584387,0.32490306181066175,2.7193630442899814,0.6752872242647059,2.0440758200252755
layer_9,0.32804430512820976,-0.003140126957612879,0.3311844320858226,2.9327591839958638,0.6624425551470589,2.2703166288488053
layer_10,0.32712455917807187,0.024761062509873335,0.3023634966681985,2.762377750172335,1.1929342830882352,1.5694434670840993
layer_11,0.22011188899769502,0.010454511642456055,0.20965737735523898,1.4827189725988053,0.7190142463235294,0.7637047262752757
layer_12,0.16135547581840964,0.011194271199843463,0.15016120461856616,1.0706727869370405,0.6671530330882353,0.4035197538488052
layer_13,0.09838970128227682,0.005675144756541533,0.09271455652573529,0.7507466035730699,0.5067210477941176,0.2440255557789522
layer_14,0.14385822240044088,0.022535052019007067,0.12132317038143382,1.093385045668658,0.7987706801470589,0.29461436552159925
layer_15,0.15921931266784667,0.016816035438986385,0.1424032772288603,1.1396640553193933,0.7234949448529412,0.4161691104664522
layer_16,0.06131389561821433,0.0073710245244643265,0.05394287109375,0.48348657944623163,0.34761029411764705,0.13587628532858456
layer_17,0.02098810252021341,0.007725163067088408,0.013262939453125,0.2744110107421875,0.2922104779411765,-0.01779946719898897
layer_18,0.025493344138650332,0.004370692197014304,0.02112265194163603,0.292012113683364,0.26062729779411764,0.031384815889246326
layer_19,0.019556356878841625,0.0021613373475916245,0.01739501953125,0.23320043227251838,0.1595703125,0.07363011977251838
layer_20,0.013171726114609662,0.005420979331521427,0.007750746783088235,0.23643170525045956,0.2412109375,-0.004779232249540441
layer_21,0.01162731226752786,0.004739674399880802,0.006887637867647059,0.21008282829733455,0.17729779411764707,0.0327850341796875
layer_22,0.016972979377297793,0.00392465030445772,0.013048329072840073,0.24489907657398896,0.16939338235294119,0.07550569422104779
layer_23,0.012325104545144475,0.004066868389354033,0.008258236155790442,0.1909497429342831,0.15705422794117646,0.03389551499310662
layer_24,0.0139097858877743,0.0021723663105684167,0.011737419577205883,0.19287378647748163,0.1017578125,0.09111597397748161
layer_25,0.0069749635808608115,0.002238276425529929,0.0047366871553308825,0.13645576028262868,0.05608915441176471,0.08036660587086397
layer_26,0.01282801347620347,-0.0006330209619858685,0.013461034438189337,0.1232452392578125,0.01688878676470588,0.10635645249310662
layer_27,0.015249266343958238,-0.001810598373413086,0.017059864717371323,0.11209842457490808,-0.02143841911764706,0.13353684369255514
layer_28,0.00934580354129567,-0.002493760165046243,0.011839563706341911,0.05815142463235294,-0.04190027573529412,0.10005170036764706
layer_29,0.024259278353522807,-0.004409024294684915,0.02866830264820772,0.09364983053768382,-0.05812270220588235,0.15177253274356617
layer_30,0.017653428806978115,-0.0054975649889777685,0.023150993795955883,-0.009670840992647058,-0.17161075367647058,0.16193991268382352
layer_31,0.01526339474846335,-0.005507946014404297,0.020771340762867647,-0.003978415096507353,-0.14109604779411763,0.1371176326976103
