layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.3194365227923674,-0.03766214777441586,0.35709867056678324,3.041295489142923,-2.1976792279411765,5.2389747170840995
layer_1,0.31960459316478057,-0.02908753787769991,0.3486921310424805,2.8399627685546873,-0.811328125,3.6512908935546875
layer_2,0.3230563472299015,-0.03360771992627312,0.3566640671561746,3.357104312672335,-1.725482536764706,5.082586849437041
layer_3,0.32293762599720677,-0.02901620023390826,0.351953826231115,3.3068515553193936,-0.7357536764705882,4.042605231789982
layer_4,0.32108210114871755,-0.02759883263531853,0.3486809337840361,2.887596040613511,-0.4775505514705882,3.3651465920840993
layer_5,0.31875223692725685,-0.039211527740254125,0.357963764667511,2.7199719597311582,-3.300344669117647,6.020316628848805
layer_6,0.31896720914279714,-0.04004668277852676,0.3590138919213239,3.873878209731158,-5.705170036764706,9.579048246495864
layer_7,0.3189455361927257,-0.040011356858646166,0.35895689305137185,2.961332253848805,-5.662063419117647,8.623395672966453
layer_8,0.3197787053444806,-0.03826828213299022,0.3580469874774708,3.3212587244370404,-2.760592830882353,6.0818515553193935
layer_9,0.3215146408361547,-0.03229023989509134,0.35380488073124605,3.130541812672335,-1.3879595588235294,4.518501371495864
layer_10,0.35096235555761,0.0204799399656408,0.3304824155919692,3.4369871251723345,1.0953010110294117,2.341686114142923
layer_11,0.3174464751692379,-0.03399096376755658,0.3514374389367945,2.962504128848805,-2.228998161764706,5.191502290613511
layer_12,0.3189967618269079,-0.03989237617043888,0.3588891379973468,3.244742180319393,-5.325988051470588,8.570730231789982
layer_13,0.3448811222525204,0.02200460714452407,0.3228765151079963,3.268352014878217,1.2112247242647058,2.057127290613511
layer_14,0.26060438787235934,-0.033061178291545194,0.29366556616390455,1.7783991196576288,-1.9787683823529412,3.75716750201057
layer_15,0.3285334404777078,0.014530051455778233,0.3140033890219296,2.903266996495864,0.3335707720588235,2.5696962244370405
layer_16,0.24963284380295697,0.005737593594719382,0.2438952502082376,1.7450868494370404,0.5333984375,1.2116884119370404
layer_17,0.14661694414475385,0.012406380036297966,0.1342105641084559,1.0275604248046875,0.6133444393382353,0.4142159854664522
layer_18,0.02852311134338379,-0.010457350226009594,0.03898046156939338,-0.019708790498621325,-0.028630514705882352,0.00892172420726103
layer_19,-0.07235095150330488,-0.013004853444940904,-0.05934609805836397,-1.0196330350988052,-0.7314453125,-0.28818772259880515
layer_20,0.07372426425709444,0.008986158931956572,0.06473810532513787,0.5478564094094669,0.3409466911764706,0.20690971823299634
layer_21,-0.019685927559347713,0.008395091225119198,-0.02808101878446691,-0.020814244887408087,0.17159926470588235,-0.19241350959329045
layer_22,0.012563099580652574,0.006653370576746324,0.00590972900390625,0.08686900419347426,0.06463694852941176,0.0222320556640625
layer_23,-0.00394746836493997,0.0019357821520637063,-0.0058832505170036764,0.011330099666819853,0.04240579044117647,-0.031075690774356617
layer_24,0.007508294722613167,0.004963487737319049,0.0025448069852941177,0.26256139418658087,0.1583639705882353,0.10419742359834559
layer_25,-0.004611839967615464,0.0013451912823845358,-0.00595703125,-0.0070267621208639705,-0.022265625,0.01523886287913603
layer_26,0.01918351930730483,-0.0034224664463716396,0.02260598575367647,0.06709074132582721,-0.10299862132352941,0.17008936264935662
layer_27,0.008674405602847829,-0.007921053381527172,0.016595458984375,-0.029282334271599264,-0.20496323529411764,0.17568090102251838
layer_28,-0.011122798919677735,-0.006981294295367073,-0.004141504624310662,-0.17781605440027573,-0.2966107536764706,0.11879469927619485
layer_29,-0.000677170472986558,0.004635311575496898,-0.005312482048483456,0.09668094410615809,0.15012637867647058,-0.0534454345703125
layer_30,0.020371842384338378,-0.0068137996336993046,0.027185642018037685,-0.0048456528607536764,-0.187890625,0.18304497213924634
layer_31,0.02460182835074032,-0.01798085184658275,0.04258268019732307,-0.08141856474034927,-0.4991613051470588,0.41774274040670956
