layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.059699919976686174,-0.03311577658904226,0.09281569656572844,0.8321623149671052,2.9326814350328947,-2.1005191200657896
layer_1,0.05931012881429572,-0.035496376062694346,0.09480650487699006,0.7929353412828948,0.05768143503289474,0.73525390625
layer_2,0.05952637509295815,-0.035246574251275316,0.09477294934423346,1.4812577097039474,1.0212093955592105,0.46004831414473685
layer_3,0.0593933011356153,-0.035489034025292646,0.09488233516090795,1.7523514597039473,0.18638209292763158,1.5659693667763157
layer_4,0.0594731236758985,-0.035427346355036686,0.09490047003093519,2.6897281044407895,0.7393837376644737,1.9503443667763158
layer_5,0.060269589173166375,-0.03451224063572131,0.09478182980888768,2.8090948807565788,2.264465974506579,0.54462890625
layer_6,0.14731730473668952,0.06961874397177445,0.07769856076491506,2.5431306537828946,6.804566714638158,-4.261436060855263
layer_7,0.4257430283646835,0.3462763303204587,0.07946669804422479,4.30105622944079,8.217344263980262,-3.9162880345394737
layer_8,0.11856702628888582,0.02803644067362735,0.09053058561525847,2.967688630756579,5.147278474506579,-2.17958984375
layer_9,0.09990378367273431,0.01082736755672254,0.08907641611601178,2.5638132195723684,5.0802451685855265,-2.5164319490131577
layer_10,0.17555774199335197,0.09267435262077733,0.08288338937257465,2.6392244037828947,6.3332262541118425,-3.6940018503289473
layer_11,0.09124830961227418,0.0073989184279190864,0.08384939118435508,1.8012721011513158,4.833102898848685,-3.0318307976973684
layer_12,0.07816953094382036,0.0036857862221567252,0.07448374472166362,1.8033896998355263,4.251894017269737,-2.4485043174342107
layer_13,0.0896886386369404,-0.0024531740891306024,0.09214181272607101,2.655188630756579,3.349416632401316,-0.6942280016447369
layer_14,0.10662109914578889,0.027188883957109954,0.07943221518867895,1.9922825863486842,4.8249768708881575,-2.832694284539474
layer_15,0.1190688170884785,0.04276242318906282,0.07630639389941567,2.047535464638158,4.4352770353618425,-2.3877415707236844
layer_16,0.11214647920508133,0.05487585695166337,0.05727062225341797,1.6334254214638158,4.533204409950658,-2.899778988486842
layer_17,0.09883095026016235,0.03252097493723819,0.06630997532292417,1.1246710526315788,2.645862458881579,-1.52119140625
layer_18,0.06811119318008423,0.02993692912553486,0.038174264054549364,0.8873997738486842,1.9510665090460526,-1.0636667351973683
layer_19,0.043424990930055314,0.01953379104011937,0.023891199889935946,0.45228207236842105,1.402626439144737,-0.9503443667763158
layer_20,0.03488172229967619,0.018824008264039693,0.0160577140356365,0.45257247121710525,1.4538677014802632,-1.001295230263158
layer_21,0.033752779584181936,0.012721328358901175,0.021031451225280762,0.48120631167763156,1.8067819695723684,-1.3255756578947369
layer_22,0.018401730060577392,0.010861727438474956,0.007540002622102436,0.23084652549342105,1.5257375616776316,-1.2948910361842105
layer_23,0.017669951288323653,0.010328290964427746,0.0073416603238959065,0.14378854851973685,1.0909462376644736,-0.9471576891447369
layer_24,0.001953983934302079,0.00946430156105443,-0.007510317626752351,0.05681023848684211,0.778160978618421,-0.721350740131579
layer_25,-0.001246742198341771,0.004088550492336875,-0.005335292690678646,-0.0639879728618421,0.9965126439144737,-1.0605006167763158
layer_26,-0.01104837091345536,0.004096972314934982,-0.015145343228390342,-0.14846319901315788,0.899010587993421,-1.047473787006579
layer_27,-0.007014215619940507,0.0050108589624103745,-0.012025074582350881,-0.17724866365131578,0.5623509457236842,-0.739599609375
layer_28,-0.0035259008407592775,0.006366843298861855,-0.009892744139621133,-0.045140316611842105,0.7603824013157895,-0.8055227179276315
layer_29,-0.006360973182477449,0.005949460832696212,-0.012310434015173661,-0.23423622532894736,0.5470908717105263,-0.7813270970394737
layer_30,0.0009286842848125257,0.0064185293097245065,-0.005489845024911981,-0.12768811677631578,0.4681563527960526,-0.5958444695723685
layer_31,0.008903051677503084,0.011318104518087287,-0.002415052840584203,-0.0651135896381579,0.48614823190789475,-0.5512618215460526
