layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.05964438287835372,-0.033531591139341656,0.09317597401769538,0.8348350123355263,2.733544921875,-1.8987099095394737
layer_1,0.05930750934701217,-0.03550743680251272,0.09481494614952489,0.7834369860197369,-0.029654091282894736,0.8130910773026315
layer_2,0.059501167347556665,-0.03528632678483662,0.09478749413239329,1.4528037623355263,0.9092850534539474,0.5435187088815789
layer_3,0.05937588905033312,-0.03550395087191933,0.09487983992225245,1.6531327097039474,0.14074064555921054,1.5123920641447368
layer_4,0.059499919414520264,-0.03539454560530813,0.0948944650198284,2.721923828125,0.8724840666118421,1.849439761513158
layer_5,0.06140004396438599,-0.033188567036076595,0.09458861100046258,2.803379420230263,3.0123689350328946,-0.2089895148026316
layer_6,0.14265083576503554,0.06442031546642905,0.07823052029860647,2.5132478412828947,6.752500513980263,-4.2392526726973685
layer_7,0.44318596752066364,0.36363858360993234,0.07954738391073127,4.36764494243421,8.263024259868422,-3.8953793174342106
layer_8,0.11459800381409495,0.023314623456252247,0.0912833803578427,3.139255242598684,5.329227487664474,-2.1899722450657895
layer_9,0.09328053625006424,0.0029769313962836014,0.09030360485378065,2.5991956208881577,5.027079050164474,-2.427883429276316
layer_10,0.1773438911688955,0.09528844419278597,0.08205544697610956,2.7023360402960526,6.457522101151316,-3.755186060855263
layer_11,0.09003138793142218,0.0048226149458634225,0.08520877298555876,1.8443744860197369,4.737101665296053,-2.892727179276316
layer_12,0.08657612863339875,0.006708197217238577,0.07986793141616018,1.9053736636513159,4.937019428453947,-3.0316457648026316
layer_13,0.07952268311851902,-0.013630579019847669,0.0931532621383667,2.768274568256579,3.2921283922697366,-0.5238538240131579
layer_14,0.1262856496007819,0.04540561563090274,0.08088003396987915,2.482815069901316,5.632121196546053,-3.1493061266447366
layer_15,0.11701808352219431,0.03182115115617451,0.0851969323660198,2.583190275493421,4.630008737664474,-2.0468184621710526
layer_16,0.11948079309965434,0.060707177613910875,0.058773615485743474,1.8800832648026315,4.941786595394737,-3.0617033305921053
layer_17,0.08940118174803885,0.02016672397914686,0.06923445776889199,1.141845703125,2.6845317639802633,-1.542686060855263
layer_18,0.07116539980235853,0.02776715629979184,0.043398243502566686,0.9986970600328947,2.0286672491776314,-1.0299701891447368
layer_19,0.04705483725196437,0.022621280268618937,0.024433556983345435,0.4868960731907895,1.4408331620065788,-0.9539370888157894
layer_20,0.034049878622356214,0.020669973523993242,0.013379905098362973,0.4451146175986842,1.3906481291118422,-0.9455335115131579
layer_21,0.033642076818566576,0.012681743345762555,0.02096033347280402,0.4640650699013158,1.8780658922697369,-1.414000822368421
layer_22,0.017890777085956773,0.009895470895265279,0.007995306190691496,0.21746761924342106,1.464208984375,-1.2467413651315788
layer_23,0.016621967993284525,0.009077230880134984,0.007544737113149543,0.11675575657894736,1.1014571340460526,-0.9847013774671053
layer_24,0.0047395574419122,0.009700550531086169,-0.00496099308917397,0.06058285361842105,0.7309236225328948,-0.6703407689144737
layer_25,-0.00044829970911929484,0.004161951416417172,-0.004610251125536467,-0.05459498355263158,1.0600123355263158,-1.1146073190789474
layer_26,-0.010760048816078588,0.0034227226909838227,-0.01418277150706241,-0.18216745476973684,0.9110711348684211,-1.0932385896381578
layer_27,-0.01111805564478824,0.005098947098380641,-0.016217002743168882,-0.19574424342105262,0.6149131373355263,-0.8106573807565789
layer_28,-0.0038282306570755808,0.005810227519587466,-0.009638458176663048,-0.045610608552631576,0.7063193873355263,-0.7519299958881579
layer_29,-0.006686719467765407,0.004072444062483938,-0.010759163530249345,-0.2728078741776316,0.6234966077302632,-0.8963044819078947
layer_30,-0.0042557804208052784,0.0041847492519177885,-0.008440529672723067,-0.16173159950657895,0.5757606907894737,-0.7374922902960527
layer_31,-0.006547609128450093,0.006820712591472425,-0.013368321719922518,-0.16160824424342105,0.4635999177631579,-0.6252081620065789
