layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.08488487758134541,-0.003004702141410426,0.08788957972275584,1.5016293174342106,4.826326069078948,-3.324696751644737
layer_1,0.08190029671317653,-0.01221037224719399,0.09411066896037051,1.0545281661184212,2.280335115131579,-1.2258069490131578
layer_2,0.08190950406225105,-0.012643807812740928,0.09455331187499197,1.2530890213815788,1.4148745888157894,-0.16178556743421052
layer_3,0.08219840714806005,-0.012497462096967196,0.09469586924502724,1.7285824424342104,1.3046361019736843,0.4239463404605263
layer_4,0.08189695132406134,-0.013016956103475471,0.09491390742753682,1.6816252055921053,-0.9818770559210527,2.663502261513158
layer_5,0.08188042954394692,-0.013064351834748921,0.09494478137869584,1.8888209292763158,-2.6149773848684212,4.503798314144737
layer_6,0.08840672154175608,0.006942733338004665,0.08146398820375142,1.4477641858552632,5.474928042763158,-4.027163856907895
layer_7,0.08824414014816284,0.005342628453907213,0.08290151169425562,1.500025699013158,5.180314555921052,-3.680288856907895
layer_8,0.08250494693454943,-0.01072899856065449,0.09323394549520392,1.265650699013158,2.766663240131579,-1.501012541118421
layer_9,0.09491706961079648,0.010992694528479325,0.08392437508231715,1.6082082648026317,5.377230674342106,-3.7690224095394735
layer_10,0.10253934672004299,0.017265198732677258,0.08527414798736573,1.8797543174342106,5.2529296875,-3.3731753700657894
layer_11,0.08417085911098279,-0.001961918881064967,0.08613277799204776,1.1324270148026316,3.436400082236842,-2.3039730674342107
layer_12,0.08329828224684063,0.0040162506856416405,0.07928203156119899,1.0756630345394738,4.776819490131579,-3.701156455592105
layer_13,0.08871090474881624,-0.0021782693110014265,0.09088917405981767,1.7870322779605263,3.897008634868421,-2.109976356907895
layer_14,0.09669793969706485,0.015051233768463134,0.08164670592860172,1.8787880345394736,5.158542351973685,-3.2797543174342105
layer_15,0.103997214216935,0.031207227079491865,0.07278998713744314,1.9125154194078948,5.0610608552631575,-3.1485454358552634
layer_16,0.09187534545597277,0.022060376092007287,0.06981496936396549,1.3897872121710526,3.941796875,-2.5520096628289473
layer_17,0.0924201670445894,0.020616749713295385,0.07180341733129401,1.2188887746710526,2.7977590460526316,-1.578870271381579
layer_18,0.058544655222641795,0.01313642702604595,0.045408228196595846,0.9391704358552632,1.6679481907894738,-0.7287777549342105
layer_19,0.04235839279074418,0.007170234228435316,0.03518815856230886,0.5682719983552632,1.4085423519736842,-0.8402703536184211
layer_20,0.03679260329196327,0.002882732215680574,0.033909871076282704,0.4110300164473684,1.215419407894737,-0.8043893914473684
layer_21,0.032672792359402306,0.0010911696835568076,0.031581622675845494,0.3878238075657895,1.0138260690789473,-0.6260022615131579
layer_22,0.02406965180447227,0.00012147614830418637,0.023948175656168084,0.1884817023026316,1.2000308388157894,-1.011549136513158
layer_23,0.01695279322172466,0.001599180070977462,0.015353613150747198,0.16253597861842106,1.0496813322368421,-0.8871453536184211
layer_24,0.00243805584154631,0.0031568144497118498,-0.0007187586081655402,0.1249743009868421,1.0394120065789474,-0.9144377055921052
layer_25,0.006945651455929405,0.002837783411929482,0.004107868043999923,0.13642578125,0.9415296052631579,-0.8051038240131579
layer_26,-0.002899978662792005,0.0008864929801539371,-0.003786471642945942,-0.009914679276315789,0.6444490131578947,-0.6543636924342106
layer_27,-0.0025999069213867186,0.0017796108597203306,-0.004379517781107049,0.07508994654605264,0.5877364309210527,-0.512646484375
layer_28,-0.0006462799875359786,0.002127137309626529,-0.0027734172971625075,0.12469161184210527,0.7593544407894737,-0.6346628289473685
layer_29,-0.009469417521828099,-0.0007979782004105418,-0.008671439321417557,-0.14612972861842105,0.3165810032894737,-0.46271073190789475
layer_30,-0.0011165851040890343,-0.0014160200169211939,0.00029943491283215975,-0.10728567023026316,0.10515008223684211,-0.21243575246710528
layer_31,0.009371526617752878,-0.0055650177754853905,0.014936544393238268,-0.17100637335526317,0.04252672697368421,-0.21353310032894737
