layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.013033831119537353,-0.0008892929553985596,0.013923124074935914,-0.3520703125,-0.1071875,-0.2448828125
layer_1,0.013356415629386902,-0.0008168411254882812,0.014173256754875184,0.8219921875,0.7822265625,0.039765625
layer_2,0.013765631318092346,-0.0010153496265411378,0.014780980944633483,0.84734375,-2.2272265625,3.0745703125
layer_3,0.015418261289596558,0.00111996591091156,0.014298295378684997,3.65375,2.46953125,1.18421875
layer_4,0.013781195878982544,-0.0009289270639419555,0.0147101229429245,2.018828125,0.333984375,1.68484375
layer_5,0.014264076352119445,-0.0005222988128662109,0.014786375164985656,5.363984375,2.28140625,3.082578125
layer_6,0.01818393886089325,0.003707628846168518,0.014476310014724731,5.1437109375,3.7075390625,1.436171875
layer_7,0.07778961539268493,0.06383283972740174,0.013956775665283203,6.9134814453125,6.6986376953125,0.21484375
layer_8,0.02582154095172882,0.011098034977912903,0.014723505973815918,7.47189453125,5.25130859375,2.2205859375
layer_9,0.02839606046676636,0.013641095757484435,0.014754964709281922,6.528427734375,3.024169921875,3.5042578125
layer_10,0.016883246898651123,0.002100297212600708,0.014782949686050414,6.647734375,3.230546875,3.4171875
layer_11,0.024488220810890197,0.009882749915122986,0.014605470895767213,6.084619140625,1.818173828125,4.2664453125
layer_12,0.01383071780204773,-0.0009788185358047484,0.014809536337852479,5.4722265625,-0.1566015625,5.628828125
layer_13,0.013921393752098084,-0.0008783495426177979,0.01479974329471588,4.7973046875,-0.5909375,5.3882421875
layer_14,0.013561360836029053,-0.0007279777526855469,0.0142893385887146,3.4333203125,-0.3113671875,3.7446875
layer_15,0.018259130716323853,0.0038953858613967897,0.014363744854927063,4.00513671875,0.04546875,3.95966796875
layer_16,0.018879199624061583,0.005043964385986328,0.013835235238075257,4.085263671875,0.858017578125,3.22724609375
layer_17,0.016035018563270567,0.003588805198669434,0.012446213364601135,3.57140625,1.86392578125,1.70748046875
layer_18,0.01149111270904541,0.0024921029806137087,0.008999009728431701,2.68126953125,1.88423828125,0.79703125
layer_19,0.008342212438583374,0.0019964689016342164,0.006345743536949158,2.28556640625,1.35203125,0.93353515625
layer_20,0.010482024550437927,0.0019117635488510132,0.008570261001586914,2.85359375,1.20951171875,1.64408203125
layer_21,0.008326603174209595,0.0010433894395828246,0.00728321373462677,1.981337890625,0.84265625,1.138681640625
layer_22,0.008129084706306458,0.0005118775367736816,0.007617207169532776,2.113203125,0.8347265625,1.2784765625
layer_23,0.006341544985771179,0.0004019784927368164,0.005939566493034363,1.68279296875,0.691796875,0.99099609375
layer_24,0.006192036271095276,0.00044734299182891846,0.005744693279266358,1.237490234375,0.81150390625,0.425986328125
layer_25,0.0049585473537445066,0.0001524573564529419,0.004806089997291565,1.0290234375,0.3973828125,0.631640625
layer_26,0.004097671508789063,4.851400852203369e-05,0.004049157500267029,1.142685546875,0.36193359375,0.780751953125
layer_27,0.004290571808815003,0.000355832576751709,0.0039347392320632935,1.193681640625,0.45240234375,0.741279296875
layer_28,0.004182494282722473,6.897211074829102e-05,0.004113522171974182,0.729228515625,0.11205078125,0.617177734375
layer_29,0.004196959733963013,-0.000316193699836731,0.004513153433799743,0.538798828125,-0.24515625,0.783955078125
layer_30,0.0018243557214736939,6.78497552871704e-05,0.0017565059661865234,0.62265625,0.21681640625,0.40583984375
layer_31,0.001939871907234192,-0.0001357102394104004,0.002075582146644592,0.388828125,0.0459765625,0.3428515625
