layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.0002790099382400513,0.0009651881456375122,-0.0006861782073974609,2.7233203125,4.6777734375,-1.954453125
layer_1,-0.001745457649230957,0.015382419228553773,-0.01712787687778473,2.93716796875,7.51998046875,-4.5828125
layer_2,0.00020582854747772217,0.001034036874771118,-0.000828208327293396,2.8571875,4.89234375,-2.03515625
layer_3,0.002160027027130127,0.006377835869789124,-0.004217808842658996,3.3281640625,6.64111328125,-3.31294921875
layer_4,0.0017967838048934936,0.0024201655387878418,-0.0006233817338943482,3.726796875,5.6909375,-1.964140625
layer_5,0.0006173306703567505,0.0003067260980606079,0.0003106045722961426,3.72640625,3.4854296875,0.2409765625
layer_6,0.0005587559938430787,0.00010982334613800049,0.00044893264770507813,3.960625,2.7834375,1.1771875
layer_7,0.0005448555946350098,0.00011041343212127686,0.0004344421625137329,3.905703125,2.966328125,0.939375
layer_8,0.0008363986015319825,0.00042745888233184813,0.00040893971920013427,4.737265625,4.2551171875,0.4821484375
layer_9,0.00043531596660614016,-6.196200847625732e-05,0.0004972779750823975,3.9166796875,0.17953125,3.7371484375
layer_10,0.00043840289115905763,-5.972862243652344e-05,0.0004981315135955811,4.5878515625,0.018515625,4.5693359375
layer_11,0.0004502773284912109,-4.439651966094971e-05,0.0004946738481521606,5.2985546875,0.800078125,4.4984765625
layer_12,0.00045332670211791995,-4.315972328186035e-05,0.0004964864253997803,5.4188671875,0.754765625,4.6641015625
layer_13,0.00047551393508911134,-1.2835264205932617e-05,0.0004883491992950439,4.24625,0.9324609375,3.3137890625
layer_14,0.0005687564611434936,0.00010328888893127442,0.00046546757221221924,3.9065625,1.836328125,2.070234375
layer_15,0.00046430230140686034,-8.32200050354004e-06,0.0004726243019104004,3.9515234375,1.230859375,2.7206640625
layer_16,0.0004467850923538208,4.166722297668457e-05,0.00040511786937713623,3.5014453125,1.60609375,1.8953515625
layer_17,0.00041760385036468503,0.0005299919843673707,-0.00011238813400268554,2.896640625,3.397890625,-0.50125
layer_18,-8.487224578857422e-05,0.0005002832412719727,-0.0005851554870605469,1.987109375,2.8971484375,-0.9100390625
layer_19,-0.00042536675930023195,0.00036111056804656984,-0.0007864773273468017,1.27734375,2.0059375,-0.72859375
layer_20,5.86092472076416e-05,0.00010627269744873047,-4.7663450241088865e-05,1.3898828125,0.985390625,0.4044921875
layer_21,-9.009838104248047e-06,7.152557373046875e-05,-8.05354118347168e-05,1.0030859375,0.5837109375,0.419375
layer_22,0.00018914937973022461,3.4391880035400392e-06,0.00018571019172668456,0.888671875,0.2835546875,0.6051171875
layer_23,-0.00012499809265136718,0.00010287165641784669,-0.00022786974906921387,0.7782421875,1.2134765625,-0.435234375
layer_24,-0.0008475446701049805,0.0003036421537399292,-0.0011511868238449096,0.57783203125,1.8972265625,-1.31939453125
layer_25,-0.00018690943717956544,0.00017108380794525146,-0.0003579932451248169,0.6789453125,1.2043359375,-0.525390625
layer_26,-0.0007604974508285523,0.0002639073133468628,-0.001024404764175415,0.252109375,1.6516015625,-1.3994921875
layer_27,-0.0004840463399887085,0.00014148294925689698,-0.0006255292892456054,0.205546875,1.31953125,-1.113984375
layer_28,-0.000623089075088501,0.00023804068565368651,-0.0008611297607421875,0.1515625,1.83484375,-1.68328125
layer_29,-0.00020301222801208496,4.564523696899414e-05,-0.0002486574649810791,-0.01046875,0.7396484375,-0.7501171875
layer_30,-7.556676864624023e-05,2.3185014724731446e-05,-9.875178337097168e-05,-0.033828125,0.3111328125,-0.3449609375
layer_31,-3.955364227294922e-06,-1.494288444519043e-06,-2.461075782775879e-06,0.0062890625,0.0596875,-0.0533984375
