layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.42873386286272863,-0.023204664782722397,0.451938527645451,3.650288799021504,-3.6143641707920793,7.264652969813583
layer_1,0.4296056356760535,-0.02228607458643394,0.4518917102624874,4.816285086150216,-2.4018409653465347,7.218126051496752
layer_2,0.43218119073622296,-0.01769824252270236,0.4498794332589253,4.243729393080909,-0.45532951732673266,4.699058910407643
layer_3,0.4290005092573638,-0.023380909225728254,0.45238141848309205,4.654117697536355,-4.5899597772277225,9.244077474764078
layer_4,0.428777808600133,-0.02333964215646876,0.45211745075660176,3.8353909029818998,-4.18904702970297,8.02443793268487
layer_5,0.4174713704845693,-0.022247653196353724,0.439719023680923,2.5678127779818998,-4.767423422029703,7.335236200011603
layer_6,0.42880197503779194,-0.02374226386004155,0.4525442388978335,3.942290655457147,-7.226059715346534,11.168350370803681
layer_7,0.4032178054941763,-0.022593168338926713,0.425810973833103,2.349053109046256,-5.249013768564357,7.598066877610613
layer_8,0.41558662440517163,-0.023106619273081865,0.43869324367825346,2.0505730657294245,-4.827196782178218,6.877769847907643
layer_9,0.41244542716753363,-0.022852355300790012,0.4352977824683237,2.134107835221999,-4.907835705445544,7.0419435406675435
layer_10,0.36585933973293494,-0.016740649643510876,0.3825999893764458,2.322110619875464,-2.2348777846534653,4.556988404528929
layer_11,0.32979865534470815,-0.007564955418652828,0.33736361076336097,1.993562603941058,-1.511873452970297,3.505436056911355
layer_12,0.24795407646953468,0.009942261299284378,0.23801181517025033,1.5860858577312809,0.599609375,0.986476482731281
layer_13,0.22531865846992719,0.010805619825230966,0.21451303864469623,1.3801931249033106,0.5329033879950495,0.8472897369082611
layer_14,0.1746108868334553,0.006538861458844478,0.16807202537461083,1.041260067779239,0.38774365717821785,0.6535164106010211
layer_15,0.09797713012978582,0.009717135736257723,0.0882599943935281,0.7311002523592203,0.32648128094059403,0.40461897141862624
layer_16,0.05478860718188899,0.007316550405898897,0.0474720567759901,0.250760824373453,-0.013845915841584159,0.2646067402150371
layer_17,0.05293432733800152,0.008559545077899895,0.04437478226010162,0.6146642099512686,0.3975672957920792,0.21709691415918936
layer_18,0.013956468294162562,0.00402634863806243,0.009930119656100132,0.344541341951578,0.16475866336633663,0.17978267858524133
layer_19,0.012962867127786768,0.004167827639249291,0.008795039488537477,0.36570362053295175,0.19802947091584158,0.16767414961711014
layer_20,0.006158845849556498,0.0019924788191767024,0.004166367030379796,0.17219452810759592,0.05310179455445545,0.11909273355314047
layer_21,0.009826909787584059,0.0025000802361138975,0.007326829551470162,0.200409993086711,0.07612353032178218,0.12428646276492884
layer_22,0.01736116586345257,0.0010585424923660732,0.016302623371086497,0.16914926661123145,0.035784730816831686,0.13336453579439975
layer_23,0.014423794675581527,0.0013334438352301569,0.013090350840351369,0.17606693683284344,0.07087329826732673,0.10519363856551671
layer_24,0.01104933259510758,0.0018265748968218814,0.009222757698285698,0.18096251534943533,0.08955368193069307,0.09140883341874226
layer_25,0.007396355713948165,0.000944985021458994,0.006451370692489171,0.10272896643912438,0.025400293935643563,0.07732867250348081
layer_26,0.005892202995791293,0.0012097187561563925,0.004682484239634901,0.14560049831277072,0.08020382116336634,0.06539667714940439
layer_27,0.007000998695297997,0.0009561293195969987,0.006044869375700998,0.1606100856667698,0.0738900061881188,0.08672007947865099
layer_28,0.0018680437956706132,0.0007248998868583452,0.001143143908812268,0.07850223956721844,0.00899211014851485,0.06951012941870359
layer_29,0.007922193201461642,0.0014301544368857204,0.00649203876457592,0.10404794523031405,0.053014774133663366,0.05103317109665068
layer_30,0.012958884829341774,0.0011680899280132634,0.011790794901328512,0.1510994033058091,0.07526299504950495,0.07583640825630415
layer_31,0.0048566549131185705,-0.001846787953140712,0.006703442866259282,0.04030790423402692,-0.04384862314356436,0.08415652737759127
