layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.8292794786001506,-0.0054031434812043845,0.834682622081355,6.137370460911801,-2.4048314144736844,8.542201875385485
layer_1,0.8278205940597936,-0.004848630177347284,0.8326692242371408,5.317201875385485,-1.350719572368421,6.667921447753907
layer_2,0.8483574421782243,0.015143475407048275,0.833213966771176,8.919504506964433,2.167105263157895,6.752399243806538
layer_3,0.8343596734498676,-0.0007634746400933517,0.835123148089961,10.453550559596012,0.2894736842105263,10.164076875385485
layer_4,0.8304283807152196,-0.004514544888546592,0.8349429256037662,9.133505329332854,-0.839453125,9.972958454332854
layer_5,0.8298057493410612,-0.005417847005944503,0.8352235963470057,9.7795579609118,-3.0697574013157896,12.84931536222759
layer_6,0.8296208651442277,-0.005599240252846166,0.8352201053970738,7.6807915135433795,-4.26227384868421,11.94306536222759
layer_7,0.8296751430160121,-0.005540822681627776,0.8352159656976399,7.810191184596012,-3.8736636513157894,11.6838548359118
layer_8,0.8296199415859423,-0.005599261585034822,0.8352192031709771,7.596169803017064,-4.8422080592105265,12.43837786222759
layer_9,0.8297131601132844,-0.005499757591046785,0.8352129177043313,7.859204342490749,-3.8179893092105264,11.677193651701275
layer_10,0.8297224157734922,-0.005486357839483964,0.8352087736129761,8.229105658280222,-3.4940583881578946,11.723164046438116
layer_11,0.8297249699893751,-0.005456515362388209,0.8351814853517633,8.562617171438117,-3.1521998355263157,11.714817006964433
layer_12,0.8004407675642716,0.009146877966429058,0.7912938895978425,6.273364498740748,-0.32890625,6.602270748740748
layer_13,0.7321286232847917,0.02592887188258924,0.7061997514022024,5.268378890188116,1.5684313322368422,3.699947557951275
layer_14,0.41399600756795785,0.027767305625112433,0.3862287019428454,3.1542129516601562,2.2449013157894737,0.9093116358706825
layer_15,0.37575039298910845,0.031952207339437384,0.3437981856496711,3.0691517880088406,2.347090871710526,0.7220609162983141
layer_16,0.11320162321391859,0.004747932835629112,0.10845369037828947,0.6231120059364721,0.46338404605263156,0.15972795988384045
layer_17,0.08247593139347277,0.0037135958671569826,0.07876233552631579,0.7406300594932155,0.6297491776315789,0.11088088186163651
layer_18,0.025735801144650107,0.0016224170985974765,0.024113384046052632,0.36367083097759045,0.3291118421052632,0.0345589888723273
layer_19,0.02781793381038465,0.0011295086459109658,0.026688425164473683,0.4555176584344161,0.4182565789473684,0.037261079487047696
layer_20,0.008370703145077355,-9.745045712119654e-06,0.008380448190789473,0.1040606046977796,0.09165296052631579,0.012407644171463816
layer_21,0.008124632584421258,-1.6814783999794408e-05,0.008141447368421052,0.07661992123252467,0.06626233552631579,0.010357585706208882
layer_22,0.015681414227736622,0.0006269323198418868,0.015054481907894737,0.1668543765419408,0.14761513157894737,0.01923924496299342
layer_23,-0.00013442541423596834,0.000269049092342979,-0.0004034745065789474,0.1559108533357319,0.15686677631578946,-0.0009559229800575658
layer_24,0.005680231044166966,0.0010801076889038086,0.004600123355263158,0.3185625578227796,0.31317845394736843,0.005384103875411184
layer_25,0.004778602248743961,0.0006564805382176449,0.004122121710526316,0.22056298506887337,0.21558388157894737,0.004979103489925986
layer_26,0.007584025357898913,0.0003317638447410182,0.007252261513157895,0.11288516395970395,0.10353618421052632,0.009348979749177632
layer_27,2.0355927316766036e-05,2.3666181062397202e-06,1.7989309210526314e-05,0.026518410130550986,0.026500822368421054,1.758776212993421e-05
layer_28,0.00808258621316207,0.0003677424631620708,0.00771484375,0.11856874164782072,0.10805921052631579,0.010509531121504934
layer_29,0.009832764299292314,0.0010231425887659976,0.008809621710526315,0.18301672684518913,0.16994243421052632,0.013074292634662829
layer_30,0.015255132474397358,0.001012739382292095,0.014242393092105263,0.16987103913959703,0.15034950657894736,0.01952153256064967
layer_31,0.019628940130534924,0.0012258768081665039,0.01840306332236842,0.14596131977282073,0.1200452302631579,0.02591608950966283
