layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,6.85205062230428e-06,9.586413701375326e-06,-2.734363079071045e-06,0.10367838541666667,0.11676432291666666,-0.0130859375
layer_1,2.41696834564209e-05,1.1722743511199952e-05,1.2446939945220947e-05,0.38665364583333334,-0.101953125,0.4886067708333333
layer_2,1.22984250386556e-05,-5.5228670438130695e-06,1.782129208246867e-05,0.355859375,-0.08072916666666667,0.43658854166666666
layer_3,8.707245190938314e-06,-8.083383242289226e-06,1.679062843322754e-05,0.222265625,-0.1103515625,0.3326171875
layer_4,1.3407071431477865e-05,1.5869736671447754e-06,1.182009776433309e-05,0.3888020833333333,0.275,0.11380208333333333
layer_5,1.2817978858947755e-05,7.119278113047282e-06,5.698700745900472e-06,0.3126953125,0.41529947916666665,-0.10260416666666666
layer_6,9.419520696004232e-06,1.2992819150288899e-05,-3.573298454284668e-06,0.3069986979166667,0.30201822916666665,0.00498046875
layer_7,2.6499231656392414e-05,3.29787532488505e-05,-6.479521592458089e-06,0.487890625,0.52724609375,-0.03935546875
layer_8,1.0352333386739095e-05,-1.6475717226664225e-06,1.1999905109405517e-05,0.32278645833333336,0.0384765625,0.2843098958333333
layer_9,6.296734015146891e-06,2.355376879374186e-06,3.941357135772705e-06,0.3243489583333333,0.22486979166666668,0.09947916666666666
layer_10,1.3378759225209555e-05,8.803109327952067e-06,4.575649897257487e-06,0.41647135416666664,0.4757161458333333,-0.059244791666666664
layer_11,8.581082026163737e-06,9.627143541971843e-06,-1.0460615158081055e-06,0.09205729166666667,0.22884114583333334,-0.13678385416666666
layer_12,4.1454037030537924e-05,4.957864681879679e-05,-8.12460978825887e-06,0.25595703125,0.377734375,-0.12177734375
layer_13,1.1396904786427816e-05,9.04699166615804e-06,2.3499131202697752e-06,0.08736979166666667,0.11022135416666666,-0.0228515625
layer_14,2.1218756834665935e-05,2.3310383160909016e-05,-2.091626326243083e-06,0.20436197916666668,0.13509114583333334,0.06927083333333334
layer_15,1.4352301756540934e-05,1.472632090250651e-05,-3.740191459655762e-07,0.28115234375,0.21643880208333333,0.06471354166666667
layer_16,5.542238553365072e-06,1.7151236534118651e-06,3.827114899953206e-06,0.0900390625,0.11985677083333333,-0.029817708333333335
layer_17,5.752841631571452e-06,1.8085042635599771e-06,3.9443373680114744e-06,0.17610677083333334,0.094921875,0.08118489583333334
layer_18,7.682045300801595e-06,8.56320063273112e-07,6.825725237528483e-06,0.15110677083333332,0.035872395833333334,0.115234375
layer_19,7.302562395731608e-06,-3.841022650400797e-06,1.1143585046132406e-05,0.2013671875,-0.07005208333333333,0.27141927083333334
layer_20,4.15643056233724e-06,-5.927681922912598e-06,1.0084112485249837e-05,0.05221354166666667,-0.31048177083333334,0.3626953125
layer_21,8.128086725870769e-06,3.703931967417399e-06,4.424154758453369e-06,0.07532552083333334,0.18587239583333334,-0.110546875
layer_22,2.6772419611612954e-06,-5.885958671569824e-07,3.265837828318278e-06,0.11422526041666667,0.20065104166666667,-0.08642578125
layer_23,3.409882386525472e-06,9.485085805257161e-06,-6.075203418731689e-06,0.15081380208333334,0.4462890625,-0.29547526041666666
layer_24,-2.0389755566914878e-06,1.877446969350179e-05,-2.0813445250193278e-05,-0.03209635416666667,0.33619791666666665,-0.3682942708333333
layer_25,1.9450982411702474e-06,9.311238924662272e-06,-7.3661406834920245e-06,0.14524739583333332,0.44602864583333335,-0.30078125
layer_26,2.9732783635457356e-06,3.4769376118977865e-09,2.969801425933838e-06,0.11529947916666666,0.2044921875,-0.08919270833333333
layer_27,8.10474157333374e-06,4.19914722442627e-06,3.905594348907471e-06,0.06041666666666667,0.2742838541666667,-0.2138671875
layer_28,8.494158585866292e-06,1.2310842672983805e-05,-3.816684087117513e-06,0.2908528645833333,0.35,-0.05914713541666667
layer_29,4.849334557851156e-06,1.2674927711486817e-05,-7.82559315363566e-06,0.28134765625,0.39915364583333335,-0.11780598958333334
layer_30,8.054574330647786e-06,1.368423302968343e-06,6.686151027679443e-06,0.32236328125,0.1212890625,0.20107421875
layer_31,3.8057565689086915e-06,6.050864855448405e-06,-2.2451082865397134e-06,0.24723307291666666,0.1416015625,0.10563151041666667
