layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.0017576265335083009,0.0008699184656143188,0.000887708067893982,3.450859375,4.201875,-0.751015625
layer_1,0.004545466303825379,0.011533357501029969,-0.00698789119720459,3.48369140625,6.98533203125,-3.501640625
layer_2,0.02126098334789276,0.042132717967033384,-0.020871734619140624,3.80482421875,8.2332421875,-4.42841796875
layer_3,0.031850840449333194,0.06791782081127166,-0.03606698036193848,3.79310546875,8.8046484375,-5.01154296875
layer_4,0.0016376149654388427,0.0004463905096054077,0.001191224455833435,3.447734375,3.5734375,-0.125703125
layer_5,0.001443658471107483,5.4600238800048826e-05,0.001389058232307434,3.097265625,2.604140625,0.493125
layer_6,0.001090906858444214,0.0006029087305068969,0.0004879981279373169,2.824921875,3.65921875,-0.834296875
layer_7,0.0014190369844436646,0.00027216970920562744,0.0011468672752380372,2.9019921875,3.169296875,-0.2673046875
layer_8,0.001288614273071289,5.5626630783081054e-05,0.001232987642288208,2.778984375,2.427265625,0.35171875
layer_9,0.0017774933576583862,0.000427018404006958,0.0013504749536514282,3.794375,3.6944140625,0.0999609375
layer_10,0.0015867054462432861,0.0005322051048278809,0.0010545003414154054,3.534296875,2.5430078125,0.9912890625
layer_11,0.0010196751356124879,0.003193535804748535,-0.0021738606691360475,3.42345703125,5.238671875,-1.81521484375
layer_12,0.0014721179008483887,-8.866846561431884e-05,0.0015607863664627076,3.0842578125,0.513125,2.5711328125
layer_13,-0.0010326725244522094,0.0023632240295410156,-0.0033958965539932252,2.45279296875,4.2808203125,-1.82802734375
layer_14,-0.16607594788074492,0.057224079966545105,-0.22330002784729003,1.7316943359375,8.45208984375,-6.7203955078125
layer_15,-0.0012174570560455323,0.009914811849594116,-0.011132268905639649,2.42923828125,4.56595703125,-2.13671875
layer_16,0.001375691294670105,-7.121741771697998e-05,0.0014469087123870849,1.7804296875,-0.8123828125,2.5928125
layer_17,-0.0014471548795700073,0.0008717423677444458,-0.002318897247314453,0.86427734375,1.30775390625,-0.4434765625
layer_18,-0.0014392632246017457,0.0001816791296005249,-0.0016209423542022706,0.26435546875,-0.014765625,0.27912109375
layer_19,-0.00037406742572784426,0.00010880708694458008,-0.0004828745126724243,0.3989453125,0.447734375,-0.0487890625
layer_20,-0.0015924370288848877,0.00010923027992248535,-0.0017016673088073731,0.02244140625,1.0056640625,-0.98322265625
layer_21,-0.0014581948518753052,0.00015613615512847902,-0.0016143310070037842,0.0125390625,0.689296875,-0.6767578125
layer_22,-0.0008681440353393555,6.095051765441895e-05,-0.0009290945529937745,0.1414453125,0.66359375,-0.5221484375
layer_23,-0.0005175995826721191,8.698582649230958e-05,-0.0006045854091644287,0.011328125,1.0555078125,-1.0441796875
layer_24,-0.00045014679431915283,7.088541984558105e-05,-0.0005210322141647338,0.0663671875,0.32171875,-0.2553515625
layer_25,-0.0007681488990783691,6.444573402404785e-05,-0.000832594633102417,0.10654296875,0.556484375,-0.44994140625
layer_26,-0.00160439670085907,0.0001563495397567749,-0.0017607462406158446,0.03580078125,0.549296875,-0.51349609375
layer_27,-0.0030923372507095336,0.00022958576679229736,-0.003321923017501831,-0.09298828125,1.2448046875,-1.33779296875
layer_28,-0.0038978445529937746,0.00025936245918273926,-0.004157207012176514,-0.268115234375,-0.291796875,0.023681640625
layer_29,-0.0009755915403366088,0.00011426806449890136,-0.0010898596048355103,0.0492578125,0.78921875,-0.7399609375
layer_30,-0.0004365831613540649,6.522059440612793e-05,-0.0005018037557601929,-0.1859765625,0.1721875,-0.3581640625
layer_31,-0.0006209993362426757,3.14784049987793e-05,-0.0006524777412414551,0.07654296875,0.1073046875,-0.03076171875
