layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.0008857494592666626,0.0003322702646255493,0.0005534791946411133,3.32958984375,1.9128125,1.41677734375
layer_1,-0.011152015328407287,0.0047710120677948,-0.015923027396202088,2.924619140625,5.19345703125,-2.268837890625
layer_2,0.0008272784948348999,-8.009791374206543e-05,0.0009073764085769653,3.26087890625,1.185234375,2.07564453125
layer_3,0.0010904067754745484,0.00042632997035980225,0.0006640768051147461,4.38958984375,2.6534375,1.73615234375
layer_4,0.0024881374835968016,0.0035727936029434203,-0.0010846561193466186,4.62283203125,4.97666015625,-0.353828125
layer_5,0.004744165539741516,0.006853100061416626,-0.00210893452167511,5.005078125,5.3141796875,-0.3091015625
layer_6,0.001294536590576172,0.00040765881538391114,0.0008868777751922608,5.14943359375,2.1858203125,2.96361328125
layer_7,0.0011773258447647095,0.00016663968563079834,0.0010106861591339111,5.46646484375,1.78703125,3.67943359375
layer_8,0.004173607230186462,0.0035063254833221434,0.0006672817468643188,6.53263671875,5.0250390625,1.50759765625
layer_9,0.0010577106475830077,-6.449222564697266e-06,0.001064159870147705,5.53853515625,1.195546875,4.34298828125
layer_10,0.0011061465740203858,5.101859569549561e-05,0.0010551279783248902,5.88767578125,0.805703125,5.08197265625
layer_11,0.001366601586341858,0.0003046572208404541,0.0010619443655014039,7.29306640625,2.3225,4.97056640625
layer_12,0.0010594272613525392,-6.718039512634277e-06,0.0010661453008651734,5.99525390625,1.2311328125,4.76412109375
layer_13,0.001487734317779541,0.00047380805015563967,0.0010139262676239014,6.53630859375,2.9231640625,3.61314453125
layer_14,0.0011901354789733887,0.00040889143943786623,0.0007812440395355225,4.32177734375,2.854453125,1.46732421875
layer_15,0.001240876317024231,0.0005422699451446534,0.0006986063718795776,4.36505859375,3.00078125,1.36427734375
layer_16,0.0008685857057571412,-1.6145706176757812e-05,0.0008847314119338989,2.96392578125,1.14546875,1.81845703125
layer_17,0.0006933426856994629,0.00020208358764648438,0.0004912590980529785,2.43009765625,1.807421875,0.62267578125
layer_18,0.0005934286117553711,-6.639957427978516e-07,0.0005940926074981689,1.72759765625,0.889140625,0.83845703125
layer_19,0.00048814475536346436,1.918673515319824e-06,0.00048622608184814456,1.16365234375,0.5033203125,0.66033203125
layer_20,0.0004675412178039551,-6.89011812210083e-05,0.0005364423990249634,0.44126953125,-0.307578125,0.74884765625
layer_21,0.00012728691101074219,5.5851340293884276e-05,7.143557071685791e-05,0.3469140625,0.266796875,0.0801171875
layer_22,5.220115184783935e-05,2.2425055503845216e-05,2.977609634399414e-05,0.07216796875,0.2587109375,-0.18654296875
layer_23,7.375359535217286e-05,3.976583480834961e-05,3.3987760543823244e-05,0.26681640625,0.2888671875,-0.02205078125
layer_24,-0.00014353156089782715,0.00013506233692169188,-0.00027859389781951903,0.37849609375,0.7272265625,-0.34873046875
layer_25,-0.000781438946723938,0.00019983291625976562,-0.0009812718629837035,0.12458984375,0.8727734375,-0.74818359375
layer_26,-0.0009819269180297852,0.00021522700786590575,-0.001197153925895691,0.06650390625,0.7628125,-0.69630859375
layer_27,-0.0008452975749969482,0.00019787609577178955,-0.0010431736707687377,0.057578125,0.769140625,-0.7115625
layer_28,-0.0009355539083480835,0.00019625604152679444,-0.0011318099498748779,0.07935546875,0.924765625,-0.84541015625
layer_29,-0.0009491747617721558,0.00013557374477386476,-0.0010847485065460206,-0.076796875,0.715078125,-0.791875
layer_30,-0.0007667970657348632,0.00010714709758758546,-0.0008739441633224488,-0.1193359375,0.429453125,-0.5487890625
layer_31,-0.00013022303581237794,3.0082464218139648e-05,-0.00016030550003051758,0.03431640625,0.128671875,-0.09435546875
