layer,prob_gap,prob_contr,prob_true,log_gap,log_contr,log_true
layer_0,0.0013217437267303467,0.0007449215650558471,0.0005768221616744995,4.47552734375,2.1873046875,2.28822265625
layer_1,0.0009322470426559448,8.159279823303222e-06,0.0009240877628326416,4.20599609375,1.9351953125,2.27080078125
layer_2,0.0010208141803741454,0.00028457939624786376,0.0007362347841262817,3.97115234375,1.8743359375,2.09681640625
layer_3,0.0008900713920593262,0.0002671319246292114,0.0006229394674301148,4.30669921875,2.517734375,1.78896484375
layer_4,0.0016100430488586426,0.0007052570581436157,0.0009047859907150269,5.34724609375,2.303046875,3.04419921875
layer_5,-0.0015191537141799926,0.0012612688541412355,-0.002780422568321228,3.10189453125,3.8248046875,-0.72291015625
layer_6,0.0009367740154266357,-0.00010759711265563965,0.0010443711280822754,3.65716796875,-0.339140625,3.99630859375
layer_7,0.0015781450271606446,0.0032987093925476076,-0.0017205643653869628,4.36771484375,4.3423046875,0.02541015625
layer_8,0.0009015780687332153,-0.00010551750659942627,0.0010070955753326415,3.91201171875,-0.0293359375,3.94134765625
layer_9,0.0010156375169754028,0.0001225900650024414,0.0008930474519729614,4.31111328125,2.2533203125,2.05779296875
layer_10,-0.0017633813619613648,0.01251621961593628,-0.014279600977897645,3.58556640625,6.293203125,-2.70763671875
layer_11,-0.020376620292663575,0.006090720295906067,-0.02646734058856964,1.5924560546875,3.85865234375,-2.2661962890625
layer_12,0.0006683254241943359,0.0013455748558044434,-0.0006772494316101075,3.53544921875,2.8519140625,0.68353515625
layer_13,0.0008949422836303711,-0.0001054471731185913,0.0010003894567489624,3.44201171875,0.8144140625,2.62759765625
layer_14,0.0008158928155899048,-0.0001282411813735962,0.000944133996963501,1.73767578125,-0.227890625,1.96556640625
layer_15,0.0008008402585983277,-9.765207767486572e-05,0.0008984923362731934,1.25294921875,-0.24875,1.50169921875
layer_16,0.0004848313331604004,0.0001722574234008789,0.0003125739097595215,0.48677734375,0.239765625,0.24701171875
layer_17,0.00018839478492736815,0.00016582489013671875,2.2569894790649416e-05,1.13130859375,0.492734375,0.63857421875
layer_18,0.00039584338665008543,2.9193758964538575e-05,0.00036664962768554686,0.96287109375,0.230703125,0.73216796875
layer_19,0.00017767608165740966,-4.118680953979492e-06,0.00018179476261138917,0.42435546875,0.0959765625,0.32837890625
layer_20,0.00042805671691894533,-8.738279342651367e-05,0.000515439510345459,0.08876953125,-0.5702734375,0.65904296875
layer_21,0.00024286150932312012,-3.8284063339233396e-05,0.0002811455726623535,0.07953125,-0.2060546875,0.2855859375
layer_22,0.0001830112934112549,-1.2633800506591797e-05,0.00019564509391784669,0.02892578125,-0.3547265625,0.38365234375
layer_23,-0.00022814810276031494,-2.3247599601745604e-05,-0.00020490050315856933,-0.20111328125,-0.2955078125,0.09439453125
layer_24,1.8610358238220216e-05,-2.5874972343444825e-05,4.448533058166504e-05,-0.32330078125,-0.0729296875,-0.25037109375
layer_25,-6.50787353515625e-05,6.297111511230469e-05,-0.0001280498504638672,0.1371875,0.394765625,-0.257578125
layer_26,2.2635459899902343e-05,-3.7153959274291994e-05,5.978941917419434e-05,-0.10994140625,-0.0415625,-0.06837890625
layer_27,0.0005006003379821778,-0.00010294735431671143,0.0006035476922988892,-0.03119140625,-0.6398828125,0.60869140625
layer_28,-0.0005011934041976928,6.559967994689941e-05,-0.0005667930841445922,-0.2104296875,0.2717578125,-0.4821875
layer_29,-0.00022892773151397705,6.61998987197876e-05,-0.00029512763023376465,-0.03861328125,0.328359375,-0.36697265625
layer_30,-8.244991302490234e-05,3.9196014404296876e-05,-0.00012164592742919923,0.02548828125,0.215703125,-0.19021484375
layer_31,8.95005464553833e-05,-1.0436773300170898e-05,9.99373197555542e-05,0.09119140625,0.0259765625,0.06521484375
